LUK.1.1	Он-ка укал хоял хачал бичэвур тэлэӈур дукудилритан, 
LUK.11.24	Ариӈка, бэй эмдэдукун нёриди, ач мөлэли төрли гиркаваччөттан, билэккэй бактай, нян бакӈа туркуриди, гөвэттэн: «Дюла, нёчэдукий мучудаку», 
LUK.11.25	нян мучуми, тэсчэв айчичав тарав битлэй дюв баккотан. 
LUK.11.26	Таракам хөрротэн, унэт хөнтэлбу, мэндуки хэӈунидьмэрэлбу ариӈкалбу мэннюми эмувэттэн, нян, дю долан иридюр, таду бидиллоттэ. Тарак-нян бэй бичэдукий унэт энтэкэедьмэрэч хилаллоттан.
LUK.11.27	Тарав Иисус төрэддэкэн, өмэн аси бэил додукутан дылгурач Ноӈантакин гөнин:
LUK.11.27	– Тарак аси нисэлкэн, ӈи урэн Хину иргэттин, ӈи өкэнди Хину өкуттин!
LUK.11.28	Иисус барагрин:
LUK.11.28	– Хэвки төрэмэн долчиваттыл, гөнчэгчинни неккэрэрил, тарал несэлкэсэл.
LUK.11.29	Унэт хоял бэил Иисус анчиндун чакаптитан. Ноӈан ноӈартакитан гөнин:
LUK.11.29	– Эрэк ӈунмин кэнели оча! Хамам ичукэвкэттэ, тарбач тарав хамам этэр хамалкар, мэтумӈэ-ткэн Иона хамаммон хаградир; 
LUK.11.30	Он-ка Иона Ниневиянкар хамантан бисин, тачин-та Бэй Хутэн Оча эрэк ӈунмин хаманни бидин. 
LUK.11.31	Намгида төр тэгэмэрэн аси усалтадякту эрэк ӈунмин бэилбэн дэпки илгарадин, нян ноӈарбутан усалтадин; ноӈан төр мудакандукун Соломон мэргэччон долчидай эмчэ бими; тарбач элэ-нян Соломондук эгдедьмэр бисни. 
LUK.11.32	Ниневиянкар усалтадякту эрэк ӈунмин бэилбэн дэпки илгарадир, нян ноӈарбутан усалтадир, ноӈартан төнӈэкичу некчэвур аталабувканитан Иона хупкугрэдеккон долчиридюр. Тарбач элэ-нян Ионадук эгдедьмэр бисни.
LUK.11.33	Ӈи-дэ, нейкэв дуруриди, тарав дяючакла эсни тэвоттэ, алик-та кумтэркинчэ хэрдэлэн эсни тэввоттэ, тарбач нейкэруклэ тэвдин, ирил ӈэрим иткэрэдэтэн. 
LUK.11.34	Ясалал – бэй нейкэрукэн. Ясалал-си абгарал бидир, чэлэн бэйди-дэ ӈэриӈчидинри, тарбач ясалал-си кэнелил бидир, чэлэн бэйди-дэ химӈэӈчидинри. 
LUK.11.35	Тарбач, коеӈэнри, ӈэрин, хиндулэ биси, эсни химӈэӈчир? 
LUK.11.36	Тарбач хин чэлэн булгисас ӈэрилкэн бисэкэн, нян хиндулэ як-та өмэндэ химӈэн ачча бисэкэн, таракам хи чэлэди ӈэриӈчидинри, он-ка нейкэ хину чэлэнь мэн хуталанди ӈэрилукэмчи.
LUK.11.37	Иисус төрэрий оддакан, өмэн фарисей дебнэдэн ноӈантакин Ноӈман эририн. Иисус ноӈантакин эмрин, дебэдек анчиндун тэгрин. 
LUK.11.38	Иисус эдлэй дебэдилрэ ӈали этывэн авра, тарав итми, фарисей мянин. 
LUK.11.39	Тарбач Хунӈит ноӈантакин гөнин:
LUK.11.39	– Ху, фарисеил, тек колаӈкалбур, аликалбур тэссочис, мэргэнсэн-нян дон хун хавкандисан, чэлкиндисэн-да милтэрэӈчин. 
LUK.11.40	Ач мэргэнэл! Эрэк баддон овканча, нян дован-да оча, эв эсни таракатта бис? 
LUK.11.41	Дӫгрилду эрэл аликал довутан бөгрэлрэ – таракам хундулэ эйду гелбэты бигрэдин. 
LUK.11.42	Хилус хунду, фарисеялду, бидин! Ху өмэм мягивутан гэрбэтэӈдук нёчэдук, хевкэнчэдук ораттук борилисэн, нян Хэвкив аявум, Хэвки-дэ усалтадяклин этывусэн дӫӈчир. Эрэв хун некэннэсэн, хөнтэв-дэ эмэкэн омӈаграр. 
LUK.11.43	Хилус хунду, фарисеялду, бидин! Ху нэӈэдекэлдулэ дюлдула малдутан тэгэттэвур аявас, чакабакалдула-да хуну эскэдэтэн аявас! 
LUK.11.44	Фарисеял, Итум-да хупкучимӈэл, хилус хунду бидин, олэкчитэл ху бисэс, ху имапчал алдыл урэчилтэн бисэс, тарал хэелитэн бэил гиркаватчөтта, тарав эникэн хар.
LUK.11.45	Тарак өмэн Итум хупкучимӈэ Иисусу дэпки төрэлрин:
LUK.11.45	– Хупкучимӈэ, Хи эчин төрэми, муну-дэ осэинри!
LUK.11.46	Иисус-нян гөнин:
LUK.11.46	– Хилус хун-дэ, Итум хупкучимӈэлни, бидин! Бэилбу инубгэн инулди этылди бис инугрэрилисэн, мэркэсэл-нян өмэньдэдиттэ униканьдюр ноӈарбутан эсэс бэлэсчивэттэ. 
LUK.11.47	Хилус хунду бидин, мэтумӈэлду, хун амтылдусан мавчалду, алдылгатан очалисан: 
LUK.11.48	ху тачин тэдевкэчис хун амтылсан аич некчэтэн бидэн; тарбач ноӈартан мэтумӈэлбу маддитан, ху-нян мавчалду алдылгатан овачис. 
LUK.11.49	Теми-дэ Хэвки мулганни эррөчин бисин: «Таимкачимӈалбу, мэтумӈэлбу-дэ ноӈартакитан ӈэнукэндим, тарбач ӈэнукэнчэлдукув хаван мадир, хөнтэлбу-нян эрэсчир. 
LUK.11.50	Эрэк ӈунмин тамам эйдулин мэтумӈэлдули Минду гавдин, бини одяктук хуӈэлэтэн оӈкэлбэчэлин: 
LUK.11.51	Авель хуӈэлэн оӈкэлбэчэдукун Захария хуӈэлэн оӈкэлбэчэкэн окан, Хэвкиду бөчидек Хэвки-дэ Дюн элгэлэтэн ноӈан мавчалин». Айдит, хунтэки гөнэм, эрэк ӈунмин милэӈэй бакчин. 
LUK.11.52	Итум хупкучимӈэлни, хилус хунду бидин! Ху хаваил бидэвур ханмай аӈаӈкаван мэрдур гадисан, мэркэр-дэ эчилсэн ир, хөнтэлбу-дэ, исчирилбу эчилсэн ивкэн.
LUK.11.53	Иисус тарав ноӈартакитан гөндидэкэн, Итум хупкучимӈэл, фарисеил-да Ноӈантакин хочунь хилгадилритан, гэрбэтэӈу улгэму барагдан, 
LUK.11.54	яв-ул ноӈандулан касагач кэнелив долдасчиритан, тадук-нян Ноӈман усалтадавур.
LUK.12.1	Тарма, ок-ка тыкичэл бэил чакабтитан, эсөми мэр доливур кадатматтыл, Иисус дюлэгэч мэн хупкуттыӈэлтэкий төрэдилрин:
LUK.12.1	– Фарисеил дюирэӈкэдитэн ӈэлгэрэлрэ, тарак ноӈартан олэкэнтэн. 
LUK.12.2	Як-та дяючин ачча, эты аӈабта, як-та хумэчин ачча, харитан эты од. 
LUK.12.3	Теми, яв-ка ху химӈэнду гөндис, тарак ӈэринду долдабдин; тарбач яв-ка дю додун коритла гөндис, тарав дю ойлэн төрэдир. 
LUK.12.4	Хунтэки гөнэм, Мэн дялтакий, эдилрэ ӈэлкилрэ бэю марилбу, тадук часки яв-да некэннэвур туркутылбу. 
LUK.12.5	Тарбач хунтэки гөндим ӈив-дэ ӈэлгэрэдэсэн: таралбу ӈэлгэрэлрэ, ӈи мариди, тадук-нян төр долан бисилэ дурила улэннэ бигрэдин. Айдит хунтэки гөнэм, таралбу ӈэлгэрэлрэ. 
LUK.12.6	Эв тунӈан чукачар эсни дӫр мэӈэн эритэн бис? Тарбач Хэвки ноӈарбутан ирэв-дэ эч омӈар. 
LUK.12.7	Хун дылласан чэлэн нюритэсэн таӈуттан. Эдилрэ ӈэлкилрэ! Хун эрисэн чукачар эридукутэн эгдедьмэр.
LUK.12.8	Би хунтэки гөнэм, ӈи Мину бэилбу дэпки хаградин, Бэй Хутэн Оча Хэвки ангелалбан дэпки тарав хаградин, 
LUK.12.9	ӈи-ккэ бэилбу дэпки Мину этэн хамалра, Бэй Хутэн Оча Хэвки ангелалбан дэпки этэн хамалра. 
LUK.12.10	Ӈи Бэй Хутэн Очав дэпки төрэм гөндин, тарак хэлэврэгдин; ӈи-ккэ нян Хиргэбэм Хирам чукалдаградин, тарак этэн хэлэврэ. 
LUK.12.11	Ок-ка нэӈэдекэлдулэ дюлдула хуну ӈэнукэндир, эмэкэн хеврэ, яв-да гөннэвур, он-да мэнур дысуччиннэвур. 
LUK.12.12	Хиргэбэн Хиран хуну хупкудин, яв-да тарла часла гөннэвусэн.
LUK.12.13	Бэил додукутан өмэн бэй Иисустэки гөнин:
LUK.12.13	– Хупкучимӈэ, гөли мин акантакиву, миннюн ханим абдув боритматтан.
LUK.12.14	Тарбач Ноӈан тартаки бэйтэки барагрин:
LUK.12.14	– Ӈи-нян хун итучимӈасан бидэку мину овканин, хуну бөритмачукандаку?
LUK.12.15	Тарбач нян Ноӈан чэлэн эйдуткин гөнин:
LUK.12.15	– Коеткэрэлрэ, чэлкин бидэвур ӈэлгэрэлрэ, бэй инин эсни эӈэедин-тэкэн айлатта, тарак хоя-да бисикэн.
LUK.12.16	Иисус ноӈартакитан өмэм тэлэӈу тэлэӈрин:
LUK.12.16	– Өмэн эӈэе бэй хевкэчидеклэн эгден хоя-да бурдук нӫчэӈэн исурин. 
LUK.12.17	«Яв-нян некрэку ай бидин? – ноӈан мэни улгимирин. – Яла-нян исувкэнчэй, чакриди, нэдим?» 
LUK.12.18	Нян эчин гөнин: «Гэ, эчин нектэку: нэкурби кавакчим, эдук эгдербу-нян одим, нян тала эйдувэн бурдук нӫчэвэн дювутчим, эйду абдуй нэдим. 
LUK.12.19	Нян мэнтэкий гөндим: „Тек-кэл хин эӈэес хоя нэкуттэн, адыла-да анӈанна дес бидин: дэрэмкэтли, дебли, колли, өрэлдэли“». 
LUK.12.20	Тарбач Хэвки ноӈантакин гөнин: «Ач мэргэнэ! Эрэв-уттэ долбану хин инивус гадир. Чакаччавус-нян ӈи гаградин?» 
LUK.12.21	Тачин тарнюн бивэттэн, ӈи мэндыткэн эӈэебэддёттэн, эникэн Хэвкитки эӈэебэддэ.
LUK.12.22	Нян хупкуттыӈэлтэкий гөнин:
LUK.12.22	– Теми хунтэки гөнэм, эдилрэ тарит-такан хеврэ, яв-да дебэннэвур индэвур, яв-да ойлаттавур, 
LUK.12.23	бини деплэдук эгдедьмэр, булгис-та ойдук эгдедьмэр. 
LUK.12.24	Туралкилбу коетлилрэ: яв-да эстэн исувкэттэ, тадук яв-да эстэн хуссотта, нэкуртэн-дэ ачча, амбаралтан-да ачча, тарбач Хэвки ноӈарбутан улиттэн. Яч-нян ху дэгилдук аидьмарал бисэс? 
LUK.12.25	Ӈи хундук манрутми-да иний өмэнь-дэ ечэнь исувкэндин? 
LUK.12.26	Тарбач, тарав-да кучукэм некӈэ туркутми, яӈгавур хөнтэв манручис? 
LUK.12.27	Коетлилрэ, он-да нёчэл, лилияч гэрбуттыл, исувэттэ: эстэн-дэ гургэвчир, эстэн-дэ томкар. Тарбач хунтэки гөнэм, Соломон-да-титта мэн хэррилэй, экич-тэ нодач оич тэтутми, ноӈан-да эчикэн нодач оич эрэлгэчин эч тэтуттэ. 
LUK.12.28	Тарбач авландула орату, эрэв инэӈу исурив, тимин-нян тогла дуруннэв, Хэвки эчин ханилачивканни, хуну-вул эдук нодадьмарач ханилачивкандин, хуну, абалач тэдеттылбу! 
LUK.12.29	Эдилрэ мэнур улгимигрэр, яв-да дебэннэвур, яв-да коланнавур, эдилрэ тарав-такан хеврэ. 
LUK.12.30	Эрэв чэлэн төр бэилни гэлэттэ, Хун-нян Амансан мэнкэн хан, эрэв надаривусан. 
LUK.12.31	Өмэм-тэкэн хевгэрэлрэ – Хэвки Тэгэмээрэдеккон, таракам эйду хунду бөгрэбдин. 
LUK.12.32	Эди ӈэлкил, кучукэн хада! Хун Амансан хунду Тэгэмэрэдеккэсэн бөдэй некрэн. 
LUK.12.33	Ханимур абдувур унивкэлрэ, дӫгрилбу бэлгэрэлрэ, хэрукэлгэвур этылбу манур дякутлилра, нэкчилрэ, эӈэелгэгэвур чакатлилра няниндула этыв манур, магдили-далу этэн дептэ, дёрмин-да этэн дагамра. 
LUK.12.34	Илэ-ккэ эӈэесэн бигрэдин, тала-тта мявунсан-да бигрэдин.
LUK.12.35	Эрэглэ дякутич бигрэлрэ: тэтысэн-да эрэгэр калбалкан бигрэдэн, нейкэлсэн-дэ дургэрэдэтэн. 
LUK.12.36	Ӈи куптудяктук хунӈий алачиддӫтан уркэв аӈаградай, мучуми тарак коӈкэлрэкэн, тарак урэчин бидэвур манруткаралра. 
LUK.12.37	Ӈив, хунӈитан мучуми, этылбу хуклэр баккотан, тарал бэлтэлкэр нисэлкэсэр бис. Айдиту хунтэки гөнэм, ноӈан мэнкэн калбаладин, тоинэку тэвдин, дебдэтэн-дэ тэгукэндин. 
LUK.12.38	Окта-вул мучуми, долба-гу, ӈэрилэстилрэкэн-гу, ноӈан ноӈарбутан этылбу хуклэр бакчин, тарал бэлтэлкэр нисэлкэсэр бис. 
LUK.12.39	Ху хас, дю хунӈин, хами адыла-да часла дёрмин эмэннэвэн, таракам эмчи хуклэр, эмчи-дэ мэн дюги хэрдэлин улуврэ. 
LUK.12.40	Ху-дэ кимутчал бигрэлрэ, Бэй Хутэн Оча этилэсэн алатта часла эмгэрэдин.
LUK.12.41	Таракам Ноӈантакин Пётр гөнин:
LUK.12.41	– Хунӈиӈат, Хи эрэв тэлэӈу мунтэки тэлэӈэнри, эв эйдуткин-гу?
LUK.12.42	Тарбач Хунӈит гөнин:
LUK.12.42	– Ӈи-ккэ тарак эевӈи, хавай-да дюгуртэмӈэ, ирэв тарак хунӈин кэлмэлби ойдэлин бэгэнтэн бидэн овканин, некэбэннэл-дэ часла деплэв бөткэрэдэн тэврин, тарак эевӈи, хавай-да дюгуртэмӈэ урэчин бидэвур манруткаралра. 
LUK.12.43	Ирэв бэлтэлкэв хунӈин мучуми гургэвчиддыв бакчин, тарак нисэлкэн бигрэдин. 
LUK.12.44	Айдиту хунтэки гөнэм, эйдувэн эӈэей дюгуртэмӈэн бидэн тарав овкандин. 
LUK.12.45	Тарбач тарак-нян бэлтэлкэн мэндэччи гөнэкэн: «Амрак хунӈиву этэн эмрэ», нян эйдувэн кэлмэлбу кусидилдин, дебэдилдин, коладилдин, бянадилдин-да, 
LUK.12.46	нян тарак бэлтэлкэн хунӈин этилэн алаттылан инэӈнэ мучудин, эмэннэвэн этилэн хар часла, тарбач тарав бэлтэлкэм кусидин, хөнтэлтэки ач долданалтаки хөрдэн эрэсчин. 
LUK.12.47	Тарак-нян бэлтэлкэн, мэн хунӈий касагчиман хари, тарбач тарав касагчим ханикан хунӈин гончэгчинни эты некөттэ, энтэкэе тарак кусивгэрэдин. 
LUK.12.48	Хөнтэ-нян бэлтэлкэн таррөчим касагчим эти хар, нян этилий-дэ тарав некрэ, абалач-та кусивдин. Ӈи-ккэ хояв некэннэн, тарав хоятта некчэвэн улгэмдир, нян ӈич-кэ энтэкэеч эеттэ, тарав унэт эгдедьмэрэч улгэмдир.
LUK.12.49	Би тогу төрлэ дурулукэндэй эмрив, тарбач тарак укал дурулэннэвэн алаттам! 
LUK.12.50	Би хөнтэч Мэни хэвкигэннэв, тарбач экичич маӈчир тарав нектэй алаттам. 
LUK.12.51	Эв ху гэрбэчис, аймулдам төрлэ бөдэй Мин эмчэдив? Эсни! Би гөнэм, дэлкэчэку эмурив. 
LUK.12.52	Тек-кэл эдук өмэндулэ дюла тунӈан бисил бэкэлтэбдир: илан дӫрбу дэпки одир, нян дӫр илам дэпки бидир. 
LUK.12.53	Аман няруди дэпки бигрэдин, нян нярудь амми дэпки оградин, энин хунади дэпки, хунадь эньми дэпки, атки кокми дэпки, көкэн аткий дэпки.
LUK.12.54	Иисус бэилтэки нян гөнин:
LUK.12.54	– Ок-ка ху нӫлтэн тыкэнмэйлэн тогэчим итчёчис, ху гөвэчис: «Удан удалдин», тачин нян бивэттэн. 
LUK.12.55	Нян нямгида хунӈэ хунӈэрэкэн, ху гөвэчис: «Хокчилдин», тачин нян бивэттэн. 
LUK.12.56	Олэкэл! Төртэки, нянинтаки коетми, иррөчин-да инэӈ биннэвэн хамалкарисан, нян иррөчил инэӈэл тек очавутан эсэс унур? 
LUK.12.57	Ями-си ху мэркэсэл мэрур эсэс хар, он-да биннэвэн? 
LUK.12.58	Ок-ка хи баргакнюми бэгэсэлтэки ӈэнэнри, тарбач укал хотарандули ӈэнэдьми, тарнюн аймулдадай манрутӈанри, эдэн ноӈан хину итучимӈатки ӈэнукэн, нян итучимӈа хину эдэн хилгачимӈаду бөр, нян тарак хилгачимӈа хину хинючакла эдэн тэгукэн. 
LUK.12.59	Айдиту хинтэки гөнэм, тадук этэнри нёр, тамам манукан эми бөр.
LUK.13.1	Таракам хөнтэл эмритэн, Иисустэки Галилеянкарбу тэлэӈритэн, Хэвкиду бодми, Пилатту мавчавутан. Пилат мавчал хуӈэлутэн коримэлнюнтан хамрин. 
LUK.13.2	Иисус ноӈартакитан барагрин:
LUK.13.2	– Ху тачин мулгачис эрэл галилеянкар төнӈэкичитэн хөнтэлдук галилеянкардук эгдедьмэр бисидин, тачин ноӈартан хилӈавур бакракатан? 
LUK.13.3	Эсни, хунтэки гөнэм, тарбач мэр төнӈэкичур эми аталабукан, ху-дэ тачин-татта көкэдис. 
LUK.13.4	Эв ху мулгачис, тарал мян дяпкан хулэк бэил, мэрдулэвур Силоам гуд утэндун тыкэвчэл, нян таду көкэкэн тылбавчал, Иерусалимна бисилдук усалкасапчил биситэн? 
LUK.13.5	Эсни, хунтэки гөнэм, тарбач мэр төнӈэкичур эми аталабукан, ху-дэ тачинта-тта көкэдис.
LUK.13.6	Нян эрэв тэлэӈу тэлэӈрин:
LUK.13.6	– Өмэн бэй тэвтэв исувкэчэклэн смоковницач гэрбутти тэвтэ исувкэччэ бисин, нян ноӈан тала эмрин, тэвтэв ирчэв гэлэтэдилрин, нян эч бакра. 
LUK.13.7	Нян тэвтэв исувкэттытки кэлмэтки гөнин: «Эр би укал иливутан анӈану эвуски эммотэм, эрэк смоковница тэвтэвэн бактай, туркурэм-дэ бакӈа, эрэв чикили, ядай төру кадатчин?» 
LUK.13.8	Тарбач тарак кэлмэ ноӈантакин барагрин: «Хунӈи, унэт өмэн анӈану бисодэн эмэли. Би эрэлин төру улдим, делгэнкэл нёсчэдитэн тарав төру хамдим, 
LUK.13.9	таракам тэвтэв исувкэндик; нян тэвтэв эсэкэн исувкэн, таракам-гал гяла анӈанна тарав чикидинри».
LUK.13.10	Иисус субботала өмэндулэ нэӈэдеклэ дюла хупкучиддин. 
LUK.13.11	Тала өмэн аси бисин, мян дяпкан хулэку анӈану ариӈкаду бутэнэври, хэмэрэӈчирин, ӈунрэмдэй туркуттин. 
LUK.13.12	Иисус, тарав иттыди, Мэнтэкий эририн, нян ноӈантакин гөнин:
LUK.13.12	– Аси! Хи мэн энэктукий бэгдэчэвунри.
LUK.13.13	Иисус ноӈандулан ӈали каптарин, нян тарак тармадит ӈунрунин, тадук Хэвкив эскэдилрин. 
LUK.13.14	Нэӈэдек дю бэгэнни, Иисус субботала бэгдэрэкэн, тикулриди, бисилтэки бэилтэки гөнин:
LUK.13.14	– Гургэв некэдек нюӈэн инэӈ бисни, таракам бэгдэттэвур эмгэрэлрэ, субботала эникэн эмгэрэр.
LUK.13.15	Нян Хунӈит ноӈантакин барагрин:
LUK.13.15	– Олэк! Эв ӈи-вул хундук субботала кэндэй, учики-вул эсни онелгэвэттэ, таралбу колуканавкандай? 
LUK.13.16	Эрэв-нян Авраам хунаддён, мян дяпкан хулэку анӈану хайтанду бутэнэч онечиврив, субботала экич усалгар?
LUK.13.17	Нян таракам Иисус тачин гөндиддэкэн, эйду баргакални хадарилритан; чэлэн бичэл бэил Иисус хомилбу некчэлбэн хокаӈчиритан.
LUK.13.18	Иисус гөнин:
LUK.13.18	– Як урэчин Хэвки Тэгэмэрэдекэн? Янюн тарав тэрэмкэтчим? 
LUK.13.19	Тарак хякита няӈтан дын, бэй тарав няӈтав гадыди исувкэндэй, төрлэ тэгукэнин, тарбач тарак исурин, эгден хякита один, нян тадук нянин дэгилни хякита хэгтэлдулэн хэвивэгур хэвивритэн.
LUK.13.20	Унэт Иисус гөнин:
LUK.13.20	– Янюн Хэвки Тэгэмэрэдеккон тэрэмкэтчим? 
LUK.13.21	Дрожжи урэчин, аси тарав гадыди, иландула бурдук улкурдулан нэдин, нян тараӈан бурдукаӈан огэрэбдин.
LUK.13.22	Нян Иерусалимтаки гиркадникан, Иисус эйдулин бисилдули городалдули, билэкэлдули ӈэнрин, хупкуптникэн. 
LUK.13.23	Өмэн бэй ноӈман улгэмрин:
LUK.13.23	– Хунӈит, эв абал-такан эйдудукун бэилдук айчибдир?
LUK.13.24	Иисус ноӈартакитан гөнин:
LUK.13.24	– Тыгэкэндули уркэли манрутӈасан касагач идэвур, хунтэки гөнэм, хоял-да касагчидир идэвур, тарбач туркудир. 
LUK.13.25	Ок-ка дю хунӈин илдин, уркэв нипкэдин, ху толин эмэбдис, уркэлэ коӈкэдис, гөникэн: «Хунӈит, Хунӈит, мунду аӈали!» Нян Ноӈан хунтэки барагдин: «Би хуну эсэм хар, ӈи-дэ хун бисивусэн, авгич-та эмчэвусэн». 
LUK.13.26	Таракам ху төрэлдис: «Бу Хиннюн дептивун, колривун, Хину итывур дэпки биникэн, мун городалбун толлитэн Хи муну хупкуттис». 
LUK.13.27	Тарбач Ноӈан гөндин: «Хунтэки гөнэм, Би хуну эсэм хар, авгич-та бисивусэн, час миндук хөрлилрэ, кэнелив овканрил». 
LUK.13.28	Таракам ху хоӈалдис, итэлдюр кисалчиникан, Аврааму, Исааку, Иакову, эйдувэн-дэ мэтумӈэлбу, Хэвки Тэгэмэрэдеклэн бисилбу иттыдюр, ху-нян толин эмэпчэл бидис, эрэсэвчэл! 
LUK.13.29	Нян нёлтэн хенмэйгидин, тыкэнмэйгидин, иӈэньгидэгич, нян нямгидагич хөнтэл эмдир, тадук-нян Хэвки Тэгэмэрэдеклэн тоинэклэ тэгэлэндир. 
LUK.13.30	Таракам, ӈи тек амаргагал бис, дюлэгэл одир, нян дюлэгэл тек бисил, амаргагал одир.
LUK.13.31	Тала инэӈнэ хан фарисеил эмритэн, Ноӈантакин гөнитэн:
LUK.13.31	– Хи эдук хөрэннэс, Ирод Хину мадай некрэн.
LUK.13.32	Нян Ноӈан ноӈартакитан барагрин:
LUK.13.32	– Ӈэннилрэ, тартаки хуличантаки гөлилрэ: «Тек ариӈкалбу нёвкандиддэм, эрэв инэӈу, тимина-да бэгдэчиддэм, нян илилатан инэӈнэ мудакчим». 
LUK.13.33	Тарбач эрэв инэӈу, тимина, илилатан-да инэӈэӈнэтэн Мин гирканнаву, мэтумӈэ Иерусалим аӈидалан көкэдекэн тачин эннэн бис. 
LUK.13.34	Иерусалим! Иерусалим, мэтумӈэлбу мари, хинтэки эмрилбу дёлач кусигрэри! Адыракан-да Би эйдучэмэн чэлэн бэиӈэлбус Мэни эрэли чактай некрив, он-ка дэги хурэлби дэтлэлби хэрдэлэтэн чаккоттан, ху-нян эчилсэн чакабамса. 
LUK.13.35	Тек-нян хун дюсан энтэрэн эмэбтэн. Хунтэки гөнэм, ху Мину тараклан инэӈэклэ этэс иттэ, ок гөндис: «Хунӈит гэрбэлин гиркари ирэмкэн бидэн».
LUK.14.1	Өмнэкэн субботала Иисус өмэн фарисеил бэгэнтэн дюлан килебэӈӈон тоимдэй эмрин, нян тарал Иисусу хипкаттитан. 
LUK.14.2	Ноӈман дэпки өмэн бэй, мөткэнь энэкэч бутэнри, тэгэттин. 
LUK.14.3	Иисус Итум хупкучимӈэлбу, фарисеилбу-дэ улгэмрин:
LUK.14.3	– Субботала-нян бэгдэчинмэй-гу?
LUK.14.4	Ноӈартан эчилтэн барагра. Иисус, бутэнрив ӈалди каптарин, бэгдэрин, нян хөрдэн тинин. 
LUK.14.5	Тарбач ноӈартакитан гөнин:
LUK.14.5	– Хун-нян ӈивул учикасан, кэндэсэн-гу мөликичла тикчин, эв ху тармадит этэс тарав нуграр, субботала-да-титта тачин бисэкэн?
LUK.14.6	Нян ноӈартан яв-да барагӈа туркуритэн.
LUK.14.7	Иисус коечиддин, нимэгнэчэл аидьмару дюлэг бисилбу тэгэлгэӈэвур хинмаривутан, нян ноӈартакитан тэлэӈу тэлэӈрин:
LUK.14.8	– Хину олдадяк тоинэдектэки эмдес гөнэкэтэн, эди дюлэглэ тэгэлгэндулэ тэггэрэкил, хөнтэ хиндук хэрридьмэр эмэннэ бидик, 
LUK.14.9	дю хунӈин, хину эмдэс гөнчэ, хинтэки, дагамриди, гөндик: «Эрэв тэгэлгэм ноӈандун осли». Таракам, хадариникан, мудандула бисилэ тэгэлгэндулэ хин тэгэннэс один. 
LUK.14.10	Тарбач, хину эмдэс гөнэкэтэн, хи тала ӈэнриди, амаргагла бисилэ тэгэлгэндулэ тэгли, нян ок-ка эмдэс гөнчэ бэй дагамдин, хинтэки гөндин: «Хараке, эвуски эмни, дюлэгэч тэгли!» – таракам хи эйдудукун нимэгнэрилдук хэррин бидинри. 
LUK.14.11	Ӈи мэни хөнтэлдук оггэрэбуччөтэн, тарак хэргили мэни овкандин, нян ӈи-ккэ мэни хэргили хэргэбуччотэн, тарак огэрэбдин. – 
LUK.14.12	Иисус эричэтки эмдэн фарисейтаки гөнин: – Өк-ка хи инэӈ, хисэчин-гу дебэдеку овкачинри, дялби, акнилби, ханилби, эӈэелбу нимэкэлби эди эригрэкил, тамаӈгавур хину-нян эдэтэн эригрэр. 
LUK.14.13	Тоинэдеку овкали, дӫгрилбу, гөнекэлбу, баликачилбу, киндакулбу эмдэтэн эригрэли. 
LUK.14.14	Нян таракам хокаӈчидай, ноӈартан туркудир хинду бөргэӈэ, айгарарил арадяклатан хи бөргэӈэй бакчинри.
LUK.14.15	Тарав долдариди, өмэн нимэгнэчэ Иисустэки гөнин:
LUK.14.15	– Тарак нисэлкэн, ӈи Хэвки Тэгэмэрэдеклэн килебэӈӈон дебгэрэдин.
LUK.14.16	Иисус-нян ноӈантакин гөнин:
LUK.14.16	– Өмэн бэй эгдем хэбдекэдек дебэдеккэн овканиди, хояв бэилбу эмдэтэн эририн. 
LUK.14.17	Дебэдек одилракан, мэн кэлмэй эридэн гөнэвкэнин: «Эмнилрэ, укал деплэв ириттывун, кимчал бису!» 
LUK.14.18	Тарбач эмдэтэн эричэлни бэил, гөлдэчэлгэчин, эмдэвур бадилритан. Өмэн гөнин: «Эр тек би төрэӈгэй унирив, тарав тек итнэннэв. Эмэкэн минтэки хирра». 
LUK.14.19	Гя бэй гөнин: «Би тунӈам дӫрдэлбу кэндэлгэгэй унирив, таралбу ярутнарам, эмэкэн минтэки хирра». 
LUK.14.20	Илитан гөнин: «Би эр тек олдаддам, экич эмрэ одни». 
LUK.14.21	Кэлмэ, мучуриди, хунӈиткий эйду тэлэӈрин. Таракам хиралриди, дю хунӈин кэлмэткий гөнин: «Хинмач город толлин гирватнали, эйдувэн, тали бисилбу дӫгрилбу, гөнекэлбу, баликачилбу эвуски эмукэли». 
LUK.14.22	Кэлмэн нян гөнин: «Хунӈиву, гөнчэвус нектэку мудакрам, тарбач унэт тэгэлгэр хулапта». 
LUK.14.23	Таракам хунӈин гөнин: «Эйдулин хотаралдули гиркали, городда инмэйтэкин ӈэнни, эйдувэн тали бисилбу бэилбу эвуски дебнэдэтэн касагач эмукэли, мин дюв нимэгнэдилди милтэрэндэн».
LUK.14.24	Тарбач хунтэки гөнэм, мин эричэлбу эвуски хэбдекэдек дебэдеклэн эмдэтэн, ок-та этэр элэ дебгэрэр. Хоя эричэв, абал-да хинмачав.
LUK.14.25	Иисуснюн хоял бэил гиркаритан, нян Ноӈан, ноӈартакитан эсэниди, гөнин:
