MAT.1.1	ಇದ್ ಯೇಸು 
ACT.12.16	ಆಚೇಂಗಿ, ಪೇತ್ರ ಇಂಞು ಪಡಿನ ತಟ್ಟಿಯಂಡೇ ಇಂಜತ್. ಕಡೇಕ್ ಅಯಿಂಗ ಪಡಿನ ತೊರ್‌ಪಕ ಅಂವೊನ ಕಂಡಿತ್ ಅಯಿಂಗಕ್ ಆಶ್ಚರ್ಯ ಆಚಿ. 
ACT.12.17	ಅಂವೊ ಅಯಿಂಗೆಲ್ಲ ಮುಂಡತೆ ಇಪ್ಪಕಾಯಿತ್ ಕೈಯಿಲ್ ಸನ್ನೆ ಮಾಡಿತ್ ಅಂವೊನ ಒಡೆಯ ಎನ್ನನೆ ಜೈಲ್‍ಯಿಂಜ ಕೊಂಡ್ ಬಾತ್‍ೕಂದ್ ವಿವರವಾಯಿತ್ ಎಣ್ಣಿತ್, ಈ ವಿಷಯತ್‍ನ ಯಾಕೋಬಂಗು ಬೋರೆ ಯೇಸುನ ನಂಬ್‍ನ ದೇವಡ ಮಕ್ಕಕೂ ಅರಿಚಿಡೀಂದ್ ಎಣ್ಣಿತ್, ಅಂವೊ ಪೊರಟಿತ್ ಬೋರೆ ಎಲ್ಲಿಕೊ ಪೋಚಿ.
ACT.12.18	ಪೊಲಾಕ ಆನ ಪಿಂಞ ಪೇತ್ರಂಗ್ ಎಂತಾಚೀಂದ್ ಕಾತಂಡಿಂಜಯಿಂಗಕ್ ದುಂಬ ಪೋಡಿ ಆಚಿ. 
ACT.12.19	ಹೆರೋದ ಪೇತ್ರನ ತ್‍ೕಡ್‌ವಕ್ ಅಯಿಂಗಕ್ ಆಜ್ಞೆ ಮಾಡ್‍ಚಿ. ಅಯಿಂಗಕ್ ಅಂವೊನ ಕಂಡ್‌ಪುಡಿಪಕ್ ಕಯ್ಯತೆ ಆಚಿ. ಅಕ್ಕ ಹೆರೋದ ಕಾಪಯಿಂಗಳ ವಿಚಾರಣೆ ಮಾಡಿತ್ ಅಯಿಂಗಳ ಕೊಲ್ಲ್‌ವಕ್ ಆಜ್ಞೆ ಮಾಡ್‍ಚಿ. ಬಯ್ಯ, ಹೆರೋದ ಯೂದಾಯ ಪ್ರಾಂತ್ಯತ್‍ನ ಬುಟ್ಟಿತ್ ಕೈಸರೈ ಪಟ್ಟಣಕ್ ಪೋಯಿತ್ ಅಲ್ಲಿ ವಾಸಯಿಂಜತ್.
ACT.12.20	ಇಕ್ಕ ಹೆರೋದ, ತೀರ್ ಪಟ್ಟಣತ್‍ರ ಜನಡ ಕೂಡೆಯು ಸೀದೋನ್ ಪಟ್ಟಣತ್‍ರ ಜನಡ ಕೂಡೆಯು ದುಂಬ ಚೆಡಿಲ್ ಇಂಜತ್. ಆಚೇಂಗಿ ಆ ನಾಡ್‍ಕಾರಂಗ ಒರೇ ಮನಸ್ಸ್‌ಲ್ ಹೆರೋದ ರಾಜನ ಕಾಂಬಕ್ ಬಾತ್. ಅಯಿಂಗ ರಾಜಂಡ ಮನೆಲ್ ಮುಕ್ಯ ಅದಿಕಾರಿಯಾನ ಬ್ಲಾಸ್ತನ ಕೂಟ್‍ಪುಡ್‍ಚಿತ್, ಅಂವೊಂಡ ಸಹಾಯ ಬೋಂಡೂಂದ್ ಬೋಡಿಯಂಡತ್. ಪಿಂಞ ಅಯಿಂಗ ಹೆರೋದ ರಾಜನ ಕಾಂಬಕ್ ಪೋಯಿತ್, ರಾಜ ಅಯಿಂಗಡ ಕೂಡೆ ಸಮಾದಾನ ಆಂಡೂಂದ್ ಬೋಡಿಯಂಡತ್. ಎನ್ನಂಗೆಣ್ಣ್‌ಚೇಂಗಿ, ಹೆರೋದಂಡ ನಾಡಿಂಜಲೆ ತಿಂಬಕುಳ್ಳ ಸಾಮಾನೆಲ್ಲ ಪೋಯಂಡಿಂಜತ್. 
ACT.12.21	ಗೊತ್ತ್ ಮಾಡ್‍ನ ಒರ್ ದಿವಸತ್‍ಲ್ ಹೆರೋದ, ರಾಜ ವಸ್ತ್ರತ್‍ನ ಇಟ್ಟಂಡ್, ಸಿಂಹಾಸನತ್‍ಲ್ ಅಳ್‌ತಿತ್, ಅಯಿಂಗಡ ಮಿಂಞ ತಕ್ಕ್ ಪರ್ಂದತ್.
ACT.12.22	ಅಲ್ಲಿ ಕೂಡಿತ್ಂಜ ಜನ: ಇದ್ ಮನುಷ್ಯಂಡ ತಕ್ಕ್ ಅಲ್ಲ, ಇದ್ ದೇವಡ ತಕ್ಕ್‍ೕಂದ್ ಜೋರಾಯಿತ್ ಕೂತ್ ಕೊಡ್‍ತತ್.
ACT.12.23	ಅಂವೊ ದೇವಕ್ ಮಹಿಮೇನೆ ಕೊಡ್‍ಕತಗುಂಡ್, ಒಡೆಯಂಡ ದೂತ ಅಂವೊಂಗ್ ಅಕ್ಕಲೆ ಒರ್ ಕ್ರೂರ ಕಾಯಿಲೆ ಬಪ್ಪಕ್ ಮಾಡ್‍ಚಿ. ಪುಳು ಅಂವೊನ ತಿಂದಗುಂಡ್, ಅಂವೊ ಚತ್ತ್ ಪೋಚಿ.
ACT.12.24	ಆಚೇಂಗಿ ದೇವಡ ವಾಕ್ಯ ದುಂಬ ಪಬ್ಬಿಯಂಡೇ ಇಂಜತ್.
ACT.12.25	ಬಾರ್ನಬ ಪಿಂಞ ಸೌಲ, ಅಯಿಂಗ ಯೆರೂಸಲೇಮ್‍ಲ್ ಮಾಡ್‍ವಕ್ಕುಳ್ಳ ಸೇವೇನ ಪೂರ್ತಿ ಮಾಡ್‍ನ ಪಿಂಞ ಮಾರ್ಕ ಎಣ್ಣುವ ಇಂಞೊರ್ ಪೆದವುಳ್ಳ ಯೋಹಾನನ ಕಾಕಿಯಂಡ್ ಯೆರೂಸಲೇಮ್ಂಜ ಪುನಃ ವಾಪಸ್ ಬಾತ್.
ACT.13.1	ಅಂತಿಯೋಕ್ಯ ಪಟ್ಟಣತ್‍ರ ಸಬೇಲ್, ಚೆನ್ನ ಜನ 
ACT.13.2	ಅಯಿಂಗ ಒಡೆಯನ ಆರಾದನೆ ಮಾಡಿಯಂಡ್ ಪಟ್ಟಣಿ ನಿಂದಂಡ್ ಇಪ್ಪಕ,
ACT.13.2	ಪವಿತ್ರಾತ್ಮ ಅಯಿಂಗಕ್: ನಾನ್ ಕಾಕ್‍ನ ವಿಶೇಷ ಸೇವೆಕಾಯಿತ್ ಬಾರ್ನಬ ಪಿಂಞ ಸೌಲನ, ನಿಂಗ ಬೋರೆ ಮಾಡಿತ್ ಅಯಿಂಕಂಡೂಂದ್ ಎಣ್ಣ್‌ಚಿ. 
ACT.13.3	ಬಯ್ಯ, ಅಯಿಂಗ ಪಟ್ಟಣಿ ನಿಂದಿತ್, ಪ್ರಾರ್ಥನೆ ಮಾಡಿತ್, ಅಯಿಂಗಡ ಮೇಲೆ ಕೈ ಬೆಚ್ಚಿತ್ ಅಯಿಂಗಳ ಅಯಿಚತ್.
ACT.13.4	ಇನ್ನನೆ ಅಯಿಂಗಳ 
ACT.13.5	ಅಯಿಂಗ ಸಲಮಿಸ್ ಪಟ್ಟಣಕ್ ಬಂದಿತ್, ಅಲ್ಲಿ ಇಂಜ ಯೆಹೂದ್ಯಂಗಡ 
ACT.13.6	ಅಯಿಂಗ ದ್ವೀಪತ್‍ರ ಬಟ್ಟೇಲ್ ಪಾಫೋಸ್ ಎಣ್ಣುವ ಪೇಟೇಕ್ ಬಪ್ಪಕ, ಅಲ್ಲಿ ಬಾರ್‌ಯೇಸು ಎಣ್ಣುವ ಕಳ್ಳ 
ACT.13.7	ಅಂವೊ ಬುದ್ದಿವಂತ ಅದಿಪತಿಯಾನ ಸೆರ್ಗ್ಯ ಪೌಲ ಎಣ್ಣ್‌ವಂವೊಂಡ ಕೂಡೆ ಇಂಜತ್. ಆ ಅದಿಪತಿ, ಸೌಲ ಪಿಂಞ ಬಾರ್ನಬನ ಕಾಕಿತ್ ದೇವಡ ವಾಕ್ಯತ್‍ನ ಕ್‍ೕಪಕ್ ಕುಶೀಲ್ ಇಂಜತ್. 
ACT.13.8	ಆಚೇಂಗಿ, ಮಂತ್ರವಾದೀಂದ್ ಅರ್ಥ ಆಪ ಪೆದ ಉಳ್ಳ ಎಲುಮ, ಯೇಸುರ ಮೇಲೆ ಅದಿಪತಿ ನಂಬಿಕೆ ಇಡತನೆಕೆ, ಅಯಿಂಗಕ್ ವಿರೋದವಾಯಿತ್ ಮಾಡಿಯಂಡಿಂಜತ್. 
ACT.13.9	ಅಕ್ಕ ಪೌಲ ಎಣ್ಣುವ ಸೌಲ 
ACT.13.10	ಎಲ್ಲಾ ದೋಷವು ಕಪಟತನವು ದುಂಬಿತುಳ್ಳ, ಸೈತಾನಂಡ ಮೋಂವೊನೇ! ದೇವಡ ನೀತಿಕ್ ವಿರೋದವಾಯಿತ್ ನಿಪ್ಪ ಮನುಷ್ಯನೇ, ಒಡೆಯಂಡ ಸರಿಯಾನ ಬಟ್ಟೇನ, ತಿರಿಗ್‍ಚಿಡುವದ್‍ನ ನೀನ್ ನಿಪ್ಪ್‌ಚಿಡುಲೆಯಾ? 
ACT.13.11	ನೋಟ್ ಇಕ್ಕ, ಒಡೆಯಂಡ ಕೈ ನೀಕ್ ವಿರೋದವಾಯಿತ್ ಉಂಡ್. ಆನಗುಂಡ್ ಇಕ್ಕಲೆ ನೀನ್ ಕುರ್‌ಡನಾಯಿತ್ ಚೆನ್ನ ಕಾಲ ಸೂರ್ಯನ ಕಾಂಗತೆ ಇಪ್ಪಿಯಾಂದ್ ಎಣ್ಣ್‌ಚಿ. ಅದೇ ಕ್ಷಣತ್‍ಲ್ ಅಂವೊಂಡ ಕಣ್ಣ್‌ರ ಮೇಲೆ ಮಂಜ್ ಬಂತ್, ಕಣ್ಣ್ ಕಾಂಗತೆ ಆಚಿ. ಅಕ್ಕ, ಕೈ ಪುಡ್‌ಚಿತ್ ಸಹಾಯ ಮಾಡ್‌ವಯಿಂಗಳ ತ್‍ೕಡ್‌ಚಿ. 
ACT.13.12	ಇನ್ನನೆ ಆನದ್‍ನ ಆ ಅದಿಪತಿ ಕಾಂಬಕ, ದೇವಡ ಬೋದನೆರ ವಿಷಯತ್ ಆಶ್ಚರ್ಯಪಟ್ಟಿತ್ ಒಡೆಯನ ನಂಬ್‍ಚಿ.
ACT.13.13	ಅಲ್ಲಿಂಜ ಪೌಲ ಪಿಂಞ ಅಂವೊಂಡ ಕೂಡೆಯಿಂಜ ಎಲ್ಲಾರು ಪಾಫೋಸ್ ಎಣ್ಣುವ ಪಟ್ಟಣತ್‍ನ ಬುಟ್ಟಿತ್ ಸಮುದ್ರ ಮಾರ್ಗವಾಯಿತ್ ಪಂಫುಲ್ಯ ಸೀಮೆಕ್ ಕೂಡ್‍ನ ಪೆರ್ಗೆ ಎಣ್ಣುವ ಪಟ್ಟಣಕ್ ಬಾತ್. ಅಲ್ಲಿಕತ್ತನೆ ಅಯಿಂಗಡ ಕೂಡೆ ಬಂದಂಡಿಂಜ ಯೋಹಾನ ಅಯಿಂಗಳ ಬುಟ್ಟಿತ್ ಪುನಃ ಯೆರೂಸಲೇಮ್‌ಕ್ ವಾಪಸ್ ಪೋಚಿ. 
ACT.13.14	ಪಿಂಞ ಅಯಿಂಗ ಪೆರ್ಗೆಯಿಂಜ ಪಿಸಿದ್ಯ ಸೀಮೆಕ್ ಕೂಡ್‍ನ ಅಂತಿಯೋಕ್ಯಕ್ ಬಾತ್. 
ACT.13.15	 ಪಿಂಞ 
ACT.13.16	ಅಕ್ಕ ಪೌಲ: ಎದ್ದಿತ್ ಅಯಿಂಗಕ್ ಕೈ ಸನ್ನೆ ಮಾಡಿತ್, ಇನ್ನನೆ ಎಣ್ಣ್‌ವಕ್ ಸುರು ಮಾಡ್‍ಚಿ. ಇಸ್ರಾಯೇಲ್ ಜನಳೇ, ದೇವನ ಆರಾದನೆ ಮಾಡ್‌ವ ಯೆಹೂದ್ಯ ಅಲ್ಲತ ಜನಳೇ, ಕ್‍ೕಳಿ. 
ACT.13.17	ಇಸ್ರಾಯೇಲ್ ಜನಾಂಗತ್‍ರ ದೇವ ನಂಗಡ ಅಜ್ಜಂಗಳ ಗೊತ್ತ್ ಮಾಡ್‍ಚಿ. ಅನ್ನನೆ ನಂಗಡ ಜನಾಂಗ ಐಗುಪ್ತ ದೇಶತ್‍ಲ್ ವಾಸಮಾಡಿಯಂಡಿಪ್ಪಕ, ಅಯಿಂಗಳ ಬಲ್ಯ ಲೆಕ್ಕತ್‍ರ ಜನವಾಯಿತ್ ಮಾಡಿತ್, ದೇವ ಅಂವೊಂಡ ಬಲ್ಯ ಶಕ್ತಿಲ್ ಐಗುಪ್ತ ದೇಶತ್ಂಜ ಪೊರಮೆ ಬಪ್ಪನೆಕೆ ಮಾಡ್‍ಚಿ. 
ACT.13.18	ಪಿಂಞ ಸುಮಾರ್ ನಾಪದ್ ಕಾಲಕತ್ತನೆ ಮಣಬೂಮಿಲ್ ಅಯಿಂಗಳ ನಡ್‍ತಿಯಂಡ್ ಅಯಿಂಗ ಮಾಡ್‍ನ ಎಲ್ಲಾನ ಸಯಿಸಿಯಂಡ್ ಇಂಜತ್. 
ACT.13.19	ಕಾನಾನ್ ದೇಶತ್‍ಲ್ ಇಂಜ ಏಳ್ ಬೋರೆ ಜಾತಿ ಜನಾಂಗಳ ನಾಶ ಮಾಡಿತ್, ಆ ಜನಡ ದೇಶತ್‍ನ ಅಂವೊಂಡ ಜನಕ್ ಸ್ವಂತವಾಯಿತ್ ಕೊಡ್‍ತತ್. 
ACT.13.20	ಇನ್ನನೆ ಸುಮಾರ್ 450 ಕಾಲ ಕಯಿಂಜಿ ಪೋಚಿ. ಪಿಂಞ 
ACT.13.21	ಅಲ್ಲಿಂಜ ಅಯಿಂಗ ನಂಗಕ್ ಒರ್ ರಾಜ ಬೋಂಡೂಂದ್ ಕ್‍ೕಪಕ, ದೇವ ಅಯಿಂಗಕ್ ಬೆನ್ಯಾಮೀನಂಡ ಕುಲತ್‍ಲ್ ಕೀಷ ಎಣ್ಣ್‌ವಂವೊಂಡ ಮೋಂವೊನಾನ ಸೌಲನ ಕೊಡ್‍ತತ್. ಅಂವೊ ಅಯಿಂಗಳ ನಾಪದ್ ಕಾಲ ಆಳ್‍ಚಿ. 
ACT.13.22	ದೇವ ಸೌಲನ ಅಲ್ಲಗೆಳೆದಿತ್, 
ACT.13.23	ಇನ್ನನೆ 
ACT.13.24	ಯೇಸು ಈ ಲೋಕಕ್ ಬಪ್ಪಕ್ ಮಿಂಞಲೇ, ಪಶ್ಚಾತಾಪ ಪಟ್ಟಿತ್ ದೇವಡ ಕಡೇಕ್ ಮನಸ್ಸ್ ತಿರ್‌ಗ್‌ವ 
ACT.13.25	ಈ ಯೋಹಾನ ತಾಂಡ ಸೇವೇನ ಪೂರ್ತಿಮಾಡ್‍ವಕಾಪಕ, ಜನತ್‍ನ ನೋಟಿತ್: ನಿಂಗ ನನ್ನ ದಾರ್‍ೕಂದ್ ಗೇನಮಾಡಿರ? ನಾನ್ ದೇವ ಗೊತ್ತ್ ಮಾಡಿತ್ ಅಯಿಚ 
ACT.13.26	ಅಣ್ಣತಮ್ಮಣಂಗಳೇ, 
ACT.13.27	ಯೆರೂಸಲೇಮ್‍ಲ್ ವಾಸ ಮಾಡಿಯಡಿಂಜ ಜನಳು, ಅಯಿಂಗಡ ಅದಿಕಾರಿಯಳು ಯೇಸು ದಾರ್‍ೕಂದ್ ಗೊತ್ತ್‌ಮಾಡಿತ್‌ಲ್ಲೆ. ಪ್ರತಿ ವಾರ ಅಯಿಂಗಡ 
ACT.13.28	ಅಂವೊಂಗ್ ಮರಣ ಶಿಕ್ಷೆ ಕೊಡ್‍ಪಕ್ ಒರ್ ಕಾರಣ ಕ್‍ಟ್ಟತೆ ಪೋಚೇಂಗಿಯು, ಅಂವೊನ ಕೊಲ್ಲಂಡೂಂದ್ ಪಿಲಾತನ ಕ್‍ೕಟತ್. 
ACT.13.29	ಅಂವೊಂಡ ವಿಷಯತ್, ಒಳ್‍ದಿತುಳ್ಳಾನೆಲ್ಲ ನೆರವೇರಿಚಿಟ್ಟ ಪಿಂಞ ಅಂವೊನ ಶಿಲುಬೆಯಿಂಜ ಇಳ್‌ಪಿತ್ ಗೋರಿಕ್ ಇಟ್ಟತ್. 
ACT.13.30	ಆಚೇಂಗಿ ದೇವ ಅಂವೊನ ಚಾವ್‍ಯಿಂಜ ಜೀವವಾಯಿತ್ ಎಪ್ಪ್‌ಚಿ. 
ACT.13.31	ಪಿಂಞ ಅಂವೊ, ಗಲಿಲಾಯಿತ್‌ಂಜ ಯೆರೂಸಲೇಮ್‌ಕ್ ಅಂವೊಂಡ ಕೂಡೆ ಬಂದಯಿಂಗಕ್ ದುಂಬ ದಿವಸ ಅಂವೊ ಜೀವವಾಯಿತ್ ಉಳ್ಳದ್‍ನ ಕಾಂಬ್‌ಚಿಟ್ಟಂಡತ್; ಇಕ್ಕ ಅಯಿಂಗ, ನಂಗಡ ಜನಾಂಗಕ್ ಅಂವೊಂಡ ಸಾಕ್ಷಿಯಳಾಯಿತ್ ಉಂಡ್.
ACT.13.32	ನಂಗಡ ಅಜ್ಜಂಗಕ್ ದೇವ ವಾಗ್ದಾನ ಮಾಡ್‍ನ ನಲ್ಲ ಸುದ್ದಿನ ನಂಗ ನಿಂಗಕ್ ಪ್ರಚಾರ ಮಾಡಿಯಂಡುಂಡ್. 
ACT.13.33	ಅದ್ ಎಂತ ಎಣ್ಣ್‌ಚೇಂಗಿ: ದೇವಡ ಪಾಟ್ ಪುಸ್ತಕತ್‍ಲ್, ದಂಡನೆ ಪಾಟ್‍ಲ್ ಒಳ್‍ದಿತುಳ್ಳನೆಕೆ:
ACT.13.33	ನೀನ್ ನಾಡ ಮೋಂವೊ,
ACT.13.33	ಇಂದ್ ನಾನ್ ನೀಡ ಅಪ್ಪನಾಯೇಂದ್
ACT.13.33	ಉಳ್ಳ ವಾಗ್ದಾನ, ದೇವಡ ಮಕ್ಕಳಾನ ನಂಗಕ್, ಯೇಸುನ ಚಾವ್‍ಯಿಂಜ ಜೀವವಾಯಿತ್ ಎಪ್ಪ್‌ಚಿಟ್ಟ ಮೂಲಕ ನೆರೆವೇರಿಚಿಟ್ಟತ್.
ACT.13.34	ಇದ್‍ಲ್ಲತೆ, ದೇವ ಯೇಸುನ ಚತ್ತಯಿಂಗಡ ಮದ್ಯತ್ಂಜ ಎಪ್ಪ್‌ಚಿಟ್ಟಗುಂಡ್ ಅಂವೊ ಪುನಃ ಅಂವೊಂಡ ತಡೀನ ಕೀಂಜ್ ಪೋಪಕ್ ಬುಡ್‍ಲೇಂದ್ ಉಳ್ಳ ವಿಷಯತ್:
ACT.13.34	ನಾನ್ ದಾವೀದಂಗ್ ವಾಗ್ದಾನ ಮಾಡ್‍ನ ಪವಿತ್ರವಾನ ಪಿಂಞ ನೇರಾನ ಆಶೀರ್ವಾದತ್‍ನ ನಿಂಗಕ್ ತಪ್ಪೀಂದ್ ದೇವ ಎಣ್ಣ್‌ಚಿ.
ACT.13.35	ದೇವಡ ಪಾಟ್ ಪುಸ್ತಕತ್‍ಲ್ ಇಂಞೊರ್ ಜಾಗತ್‍ಲ್ ನೋಟ್‍ವಕ:
ACT.13.35	ನೀನ್ ನಾಡ ಆತ್ಮತ್‌ನ, ಚಾವ್‍ರ ಜಾಗಕ್ ಪೋಪಕ್ ಬುಡುಲೆ, ನೀಡ ಪವಿತ್ರವಾನಂವೊಂಡ ತಡೀನ ಕೀಂಜ್ ಪೋಪಕ್ ಬುಡ್‍ಲೇಂದ್ ಉಂಡ್.
ACT.13.36	ಈ ವಾಕ್ಯ 
ACT.13.37	ಅನ್ನನಾಚೇಂಗಿ ದೇವ ಎಪ್ಪ್‌ಚಿಟ್ಟ, ತಡಿ ಕೀಂಜ್ ಪೋಕತೆ ಉಳ್ಳ ಯೇಸುರ ವಿಷಯತ್‍ನೇ ಎಣ್ಣಿಯಂಡುಂಡ್. 
ACT.13.38	ಆನಗುಂಡ್ ನಾಡ ಅಣ್ಣತಮ್ಮಣಂಗಳೇ, ಈ ಯೇಸುರ ಮೂಲಕ ನಿಂಗಡ ಪಾಪಕ್ ಮನ್ನಿಪ್ ಕ್‍ಟ್ಟ್‌ವಾಂದ್ ನಿಂಗಕ್ ಗೊತ್ತ್ ಮಾಡ್‌ವಕಾಯಿತೇ ನಂಗ ಎಣ್ಣಿಯಂಡುಂಡ್. 
ACT.13.39	ಮೋಶೇರ 
ACT.13.40	ಇನ್ನನೆ ಇಪ್ಪಕ, 
ACT.13.41	ತಿರಸ್ಕಾರ ಮಾಡ್‍ವಯಿಂಗಳೇ, ನೋಟಿ,
ACT.13.41	ಆಶ್ಚರ್ಯ ಪಡಿರಿ, ನಾಶವಾಯಿತ್ ಪೋಯಿರಿ.
ACT.13.41	ನಿಂಗಡ ಕಾಲತ್‍ಲ್ ನಾನ್ ಒರ್ ಕಾರ್ಯತ್‍ನ ಮಾಡ್‌ವಿ;
ACT.13.41	ಆ ಕಾರ್ಯತ್‍ನ ಒಬ್ಬ ನಿಂಗಕ್ ವಿವರಿಚಿಟ್ಟತೇಂಗಿಯು ನಿಂಗ ನಂಬುಲೇಂದ್ ಎಣ್ಣ್‌ವದೇ.
ACT.13.42	ಪೌಲ ಪಿಂಞ ಬಾರ್ನಬ 
ACT.13.43	 ಕೂಡ್‍ನ ಜನ ಪೋನ ಪಿಂಞ, ಚೆನ್ನ ಯೆಹೂದ್ಯಂಗ ಪಿಂಞ ಯೆಹೂದ್ಯ ನಂಬಿಕೇಕ್ ಬಂದ ಬಕ್ತಿಯುಳ್ಳಯಿಂಗ, ಪೌಲ ಪಿಂಞ ಬಾರ್ನಬಂಡ ಕೂಟ್‍ಕ್ ಕೂಡ್‍ಚಿ. ಈಂಗ ಅಯಿಂಗಡ ಕೂಡೆ ತಕ್ಕ್ ಪರ್ಂದಂಡ್, ದೇವಡ ಕೃಪೇಲ್ ಸ್ತಿರವಾಯಿತ್ ನಿಪ್ಪಕ್ ಅಯಿಂಗಕ್ ಆಲೋಚನೆ ಕೊಡ್‍ತತ್. 
ACT.13.44	ಮಿಂಞತ್ 
ACT.13.45	ಆಚೇಂಗಿ ಯೆಹೂದ್ಯಂಗ, ಜನ ಗುಂಪ್ ಗುಂಪಾಯಿತ್ ಬಪ್ಪಾನ ಕಂಡಿತ್, ಒಟ್ಟೆಕಿಚ್ಚ್‌ಲ್ ದುಂಬಿತ್, ಪೌಲ ಎಣ್ಣುವ ತಕ್ಕ್‌ಕ್ ವಿರೋದವಾಯಿತ್ ದೂಷಣೆ ಮಾಡಿಯಂಡಿಂಜತ್.
ACT.13.46	ಅಕ್ಕ ಪೌಲ ಪಿಂಞ ಬಾರ್ನಬ, ದೈರ್ಯತ್ಂಜ ತಕ್ಕ್ ಪರ್ಂದತ್. ಅಯಿಂಗಳ ನೋಟಿತ್: ದೇವಡ ವಾಕ್ಯತ್‍ನ ನಿಂಗಕೇ ಆದ್ಯವಾಯಿತ್ ಎಣ್ಣ್‌ವಕ್ ಅವಸ್ಯ ಇಂಜತ್; ಆಚೇಂಗಿ ನಿಂಗ ಅದ್‍ನ ತಳ್ಳಿತ್, ನಿಂಗಳ ನಿತ್ಯ ಜೀವಕ್ ಯೋಗ್ಯ ಇಲ್ಲತಯಿಂಗಳಾಯಿತ್ ನಿಂಗಳೇ ತೀರ್ಪ್ ಮಾಡ್‍ನಗುಂಡ್, ನೋಟಿ, ನಂಗ ನಿಂಗಳ ಬುಟ್ಟಿತ್ ಯೆಹೂದ್ಯಂಗ ಅಲ್ಲತ ಬೋರೆ ಜನಡ ಪಕ್ಕ ಪೋಪಾಂದ್ ಎಣ್ಣ್‌ಚಿ.
ACT.13.47	ನೀನ್ ಲೋಕತ್‍ರ ಕಡೇಕತ್ತನೆ ರಕ್ಷಕನಾಯಿತ್ ಇಪ್ಪಕ್
ACT.13.47	ನಿನ್ನ ನಾನ್ ಯೆಹೂದ್ಯ ಅಲ್ಲತಯಿಂಗಕ್ ಬೊಳಿಯಾಯಿತ್ ನೇಮಿಚಿಟ್ಟಿಯೇಂದ್
ACT.13.47	ಒಡೆಯ ನಂಗಕ್ ಅಪ್ಪಣೆ ಕೊಡ್‍ತಿತುಳ್ಳಗುಂಡ್ ನಂಗ ಇನ್ನನೆ ಮಾಡ್‌ವಾಂದ್ ಎಣ್ಣ್‌ಚಿ.
ACT.13.48	ಅಲ್ಲಿಂಜ ಯೆಹೂದ್ಯಂಗಲ್ಲತೆ ಬೋರೆ ಬೋರೆ ಜನ ಈ ಬೋದನೆನ ಕ್‍ೕಟಿತ್ ಕುಶಿಪಟ್ಟಿತ್, ಒಡೆಯಂಡ ವಾಕ್ಯತ್‍ನ ಕೊಂಡಾಡ್‍ಚಿ. ನಿತ್ಯ ಜೀವಕಾಯಿತ್ ದೇವ ಗೊತ್ತ್ ಮಾಡ್‍ನ ಎಲ್ಲಾರು ಯೇಸುನ ನಂಬ್‍ಚಿ. 
ACT.13.49	ಅನ್ನನೆ, ದೇವಡ ವಾಕ್ಯ ಆ ಸೀಮೆರ ಎಲ್ಲಾ ಕಡೇಕು ಪಬ್ಬ್‌ಚಿ. 
ACT.13.50	ಆಚೇಂಗಿ ಯೆಹೂದ್ಯಂಗ, ಅಯಿಂಗಡ ನಂಬಿಕೇಕ್ ಕೂಡ್‍ನ ಬಲ್ಯ ಗನ ಉಳ್ಳ ಪೊಣ್ಣಾಳುವಳ ಪಿಂಞ ಊರ್‌ರ ಮುಕ್ಯಪಟ್ಟ ಆಣಾಳ್‍ನ ಒತ್ತಾಯ ಮಾಡಿತ್, ಪೌಲ ಪಿಂಞ ಬಾರ್ನಬಂಗ್ ದುಂಬ ತೊಂದರೆ ಕೊಡ್‌ತಿತ್, ಅಯಿಂಗಳ ತಂಗಡ ಪಟ್ಟಣತ್ಂಜ ಓಟ್‌‌ಚಿಟ್ಟತ್. 
ACT.13.51	ಈಂಗ ತಂಗಡ ಕಾಲ್‌ಲ್ ಉಳ್ಳ ದೂಳ್‍ನ, ಅಯಿಂಗಕ್ ವಿರೋದವಾಯಿತ್ ಕೊಡ್‍ಕಿತ್,
ACT.13.52	ಅಂತಿಯೋಕ್ಯ ಪಟ್ಟಣತ್‍ಲ್ ಇಂಜ ಯೇಸುನ ನಂಬ್‍ನಯಿಂಗ ಕುಶೀಲ್ ಪಿಂಞ 
ACT.14.1	ಅನ್ನನೆ, ಇಕೋನ್ಯ ಪಟ್ಟಣತ್‍ಲ್ ಪೌಲ ಪಿಂಞ ಬಾರ್ನಬ, ಯೆಹೂದ್ಯಂಗಡ 
ACT.14.2	ಆಚೇಂಗಿ, ಎಣ್ಣ್‌ನ ವಿಷಯತ್‍ನ ನಂಬತೆ ಪೋನ ಯೆಹೂದ್ಯಂಗ, ಯೆಹೂದ್ಯರಲ್ಲತ ಜನಡ ಮನಸ್ಸ್‌ನ ಈ ದಂಡಾಳ್‌ಕ್ ವಿರೋದವಾಯಿತ್, ಚೆಡಿ ಬಪ್ಪನೆಕೆ ಪಾಳ್ ಮಾಡ್‍ಚಿ. 
