JHN.1.1	Ayns y toshiaght va’n Goo, as va’n Goo marish Jee, as va’n Goo Jee. 
JHN.8.39	Dreggyr ad as dooyrt ad rish, Abraham yn ayr ainyn. Dooyrt Yeesey roo, Dy beagh shiuish nyn gloan da Abraham, yinnagh shiu obbraghyn Abraham. 
JHN.8.40	Agh nish ta shiu shirrey mish y varroo, dooinney t’er n’insh diu yn irriney, ta mee er chlashtyn veih Jee: shoh cha ren Abraham. 
JHN.8.41	Ta shiuish cur-rish obbraghyn nyn ayrey hene. Eisht dooyrt ad rish, Cha ruggyr shinyn ayns maarderys; cha vel agh un Ayr ain, ta shen, Jee. 
JHN.8.42	Dooyrt Yeesey roo, Dy beagh Jee yn Ayr eu, veagh shiu graihagh orrym’s; son hie mee magh, as haink mee veih Jee; as cha daink mee jee’m pene, agh eshyn t’er my choyrt. 
JHN.8.43	Cre’n-fa nagh vel shiu toiggal my ghlare? te son nagh vel shiu cur geill da my ghoo. 
JHN.8.44	Ta shiuish jeh’n ayr eu yn drogh-spyrryd, as saynt nyn ayrey ver shiu rish: v’eshyn ny ghunver er-dyn toshiaght, as cha ren eh tannaghtyn ’syn ynrickys, son nagh vel yn irriney ayn. Tra t’eh loayrt breg, t’eh loayrt jeh e chooid hene: son t’eh ny vreagerey, as ayr ny breagey. 
JHN.8.45	As ga dy vel mee ginsh diu yn irriney, cha vel shiu dy my chredjal. 
JHN.8.46	Quoi jiuish ta cur peccah my lieh? as my ta mee gra yn irriney, cre’n-fa nagh vel shiu dy my chredjal? 
JHN.8.47	Eshyn ta veih Jee, t’eh cur geill da goan Yee: agh cha vel shiuish cur geill daue, son nagh vel shiu veih Jee. 
JHN.8.48	Eisht dreggyr ny Hewnyn, as dooyrt ad rish, Nagh vel shin gra yn irriney, dy nee Samaritan oo, as dy vel drogh-spyrryd aynyd. 
JHN.8.49	Dreggyr Yeesey, Cha vel drogh-spyrryd aynym’s; agh ta mee cur ooashley da my Ayr, as ta shiuish cur mee-ooashley dooys. 
JHN.8.50	As cha vel mee shirrey my ghloyr hene: ta fer ayn ta shirrey as briwnys. 
JHN.8.51	Dy firrinagh-focklagh ta mee gra riu, My ta dooinney freayll my raa’s, cha vaik eh yn baase dy bragh beayn. 
JHN.8.52	Eisht dooyrt ny Hewnyn rish, Nish ta fys ain dy vel drogh-spyrryd aynyd. Ta Abraham marroo as ny phadeyryn; as t’ou uss gra, My ta dooinney freayll my raa’s, cha jean eh blashtyn er y baase dy bragh beayn. 
JHN.8.53	Vel uss ny s’ooasle na’n ayr ain Abraham, ta marroo? as ta ny phadeyryn marroo: quoi t’ou jannoo jeed hene? 
JHN.8.54	Dreggyr Yeesey, My ta mee cur ooashley dou hene, cha vel my ooashley agh beggan feeu: she my Ayr ta cur ooashley dou, jehsyn ta shiuish loayrt, dy nee yn Jee eu eh: 
JHN.8.55	Ny-yeih cha nione diuish eh; agh shione dooys eh: as dy n’yiarrin nagh nione dou eh, veign my vreagerey goll riuish: agh shione dooys eh, as ta mee freayll yn raa echey. 
JHN.8.56	Ghow yn ayr eu Abraham foddiaght dy akin yn laa aym’s: as honnick eh eh, as ghow eh boggey. 
JHN.8.57	Eisht dooyrt ny Hewnyn rish, Cha vel uss foast jeih bleeaney as da-eed dy eash, as vel oo er vakin Abraham? 
JHN.8.58	Dooyrt Yeesey roo, Dy firrinagh firrinagh ta mee gra riu, Roish my row Abraham, Ta mish. 
JHN.8.59	Eisht hrog ad claghyn dy cheau er: agh cheill Yeesey eh-hene voue, as hie eh magh ass y chiamble, goll trooid y cheed
JHN.9.1	As myr va Yeesey goll shaghey, honnick eh dooinney v’er ny ruggey doal. 
JHN.9.2	As dênee e ostyllyn jeh, gra, Vainshter, quoi ren peccah, eh shoh ny e ayr as e voir, dy row eh er ny ruggey doal? 
JHN.9.3	Dreggyr Yeesey, Cha nee son peccah dy ren eh shoh, ny e ayr as e voir: agh dy voddagh obbraghyn Yee v’er nyn soilshaghey magh ayn. 
JHN.9.4	Shegin dooys gobbraghey ny obbraghyn echeysyn t’er my choyrt, choud as ta’n laa ayn: ta’n oie cheet tra nagh vod dooinney erbee gobbraghey. 
JHN.9.5	Choud as ta mee ayns y theihll, mee soilshey yn theihll. 
JHN.9.6	Tra v’eh erreish shoh y loayrt, cheau eh shelley er y thalloo, as ren eh cray jeh’n shelley, as hug eh yn chray rish sooillyn y dooinney doal. 
JHN.9.7	As dooyrt eh rish, Immee as oonlee oo hene ayns poyll Siloam (ta shen ’sy ghlare ainyn, Er ny choyrt) Hie eh roish er-y-fa shen, as doonlee eh eh-hene, as haink eh as e hoilshey echey.
JHN.9.8	Dooyrt ny naboonyn er-y-fa shen, as adsyn va roïe er vakin eh dy row eh doal, Nagh nee shoh eshyn boallagh soie shirrey jeirk? 
JHN.9.9	Dooyrt paart, She shoh eh: dooyrt feallagh elley, T’eh goll-rish: agh dooyrt eh-hene, She mish eh. 
JHN.9.10	Shen-y-fa dooyrt ad rish, Kys va dty hooillyn er nyn vosley? 
JHN.9.11	Dreggyr eshyn as dooyrt eh, Ren dooinney va enmyssit Yeesey, cray, as hug eh rish my hooillyn eh, as dooyrt eh rhym, Immee gys poyll Siloam, as oonlee oo hene: as hie mee, as doonlee mee mee-hene, as hooar mee my hoilshey. 
JHN.9.12	Eisht dooyrt ad rish, Cre vel eh? Dooyrt eshyn, Cha s’aym. 
JHN.9.13	Hug ad lhieu gys ny Phariseeyn eshyn va roish shen doal. 
JHN.9.14	As she er y doonaght va Yeesey er n’yannoo yn chray, as er vosley ny sooillyn echey. 
JHN.9.15	Eisht dênee ny Phariseeyn jeh reesht, kys v’eh er gheddyn e hoilshey. Dooyrt eh roo, Hug eh cray er my hooillyn, as doonlee mee, as ta mee fakin. 
JHN.9.16	Shen-y-fa dooyrt paart jeh ny Phariseeyn, Cha vel y dooinney shoh veih Jee, er-yn-oyr nagh vel eh freayll yn doonaght. Dooyrt feallagh elley, Kys oddys dooinney ta ny ghrogh-yantagh lheid ny mirrilyn y yannoo? As va streeu nyn mast’ oc. 
JHN.9.17	Dooyrt ad rish y dooinney doal reesht, Cre t’ou uss dy ghra my-e-chione, dy doshil eh dty hooillyn? Dooyrt eh, She phadeyr eh. 
JHN.9.18	Agh cha ren ny Hewnyn credjal mychione echey, dy row eh er ve doal, as dy dooar eh e hoilshey reesht, derrey deïe ad er yn ayr as yn voir echeysyn v’er gheddyn e hoilshey. 
JHN.9.19	As dênee ad jeu, gra, Nee shoh yn mac euish, ta shiu gra va er ny ruggey doal? kys eisht t’eh nish fakin? 
JHN.9.20	Dreggyr e ayr as e voir ad, gra, Ta fys ain dy nee shoh yn mac ain, as dy row eh er ny ruggey doal: 
JHN.9.21	Agh kys t’eh nish fakin, cha s’ain; ny quoi t’er vosley ny sooillyn echey, cha vel fys ain: t’eh ec eash, fênee-jee jehsyn, loayree eh er e hon hene. 
JHN.9.22	Ny goan shoh loayr e ayr as e voir, son dy row ad ayns aggle roish ny Hewnyn: son va ny Hewnyn er choardail hannah, my ghoghe dooinney erbee rish dy nee eh va’n Creest, dy beagh eh er ny ghiarey magh ass y synagogue. 
JHN.9.23	Shen-y-fa dooyrt yn ayr as y voir echey, T’eh ec eash, fênee-jee jeh hene. 
JHN.9.24	Eisht deïe ad reesht er y dooinney v’er ny ve doal, as dooyrt ad rish, Cur y moylley da Jee: ta fys ain dy nee drogh-ghooinney eh shoh. 
JHN.9.25	Dreggyr eshyn, as dooyrt eh, Cha s’aym’s dy nee drogh-ghooinney eh: un red ta fys aym er, dy row mee doal, as nish dy vel my hoilshey aym. 
JHN.9.26	Eisht dooyrt ad rish reesht, Cre ren eh rhyt? kys doshil eh dty hooillyn? 
JHN.9.27	Dreggyr eshyn ad, Ta mee er n’insh diu hannah, as cha dug shiu geill: cre’n-fa bailliu y chlashtyn reesht eh? vel shiuish myrgeddin son goaill-rish yn ynsagh echeysyn? 
JHN.9.28	Eisht doltooan ad eh, as dooyrt ad, T’ou uss ’syn ynsaghey echeysyn: agh ta shinyn ayns ynsaghey Voses. 
JHN.9.29	Ta fys ain dy loayr Jee rish Moses: agh son eh shoh, cha s’ain cre veih t’eh. 
JHN.9.30	Dreggyr y dooinney as dooyrt eh roo, Ta shen red yindyssagh, nagh s’eu cre veih t’eh, as ny-yeih dy vel eh er vosley my hooillyn’s. 
JHN.9.31	Nish ta fys ain nagh vel Jee cur clashtyn da drogh-yantee: agh my ta dooinney erbee cur ooashley da Jee, as jannoo e aigney, dasyn t’eh cur clashtyn. 
JHN.9.32	Er-dy hoshiaght y theihll cha row eh er ny chlashtyn dy doshil dooinney erbee sooillyn fer va er ny ruggey doal. 
JHN.9.33	Er-be dy vel y dooinney shoh veih Jee, cha voddagh eh nhee erbee y yannoo. 
JHN.9.34	Dreggyr ad as dooyrt ad rish, V’ou uss er dty ruggey ooilley cooidjagh ayns peccaghyn, as vel oo goaill ort dy ynsaghey shinyn? As ghiare ad magh eh. 
JHN.9.35	Cheayll Yeesey dy row ad er yiarey-magh eh; as tra v’eh er gheddyn eh, dooyrt eh rish, Vel oo credjal ayns Mac Yee? 
JHN.9.36	Dreggyr eshyn as dooyrt eh, Quoi eh, Hiarn, dy voddym credjal ayn? 
JHN.9.37	As dooyrt Yeesey rish, T’ou chammah er vakin eh, as she eshyn eh ta taggloo rhyt. 
JHN.9.38	As dooyrt eh, Hiarn, ta mee credjal. As hug eh ooashley da.
JHN.9.39	As dooyrt Yeesey, Son briwnys haink mish gys y theihll shoh: dy vod adsyn nagh vel fakin, fakin; as adsyn ta fakin, dy vod ad v’er nyn yannoo doal. 
JHN.9.40	As cheayll paart jeh ny Phariseeyn va mârish ny goan shoh, as dooyrt ad rish, Vel shinyn doal neesht? 
JHN.9.41	Dooyrt Yeesey roo, Dy beagh shiu doal, cha beagh peccah eu: agh nish ta shiu gra, Ta shin fakin; shen-y-fa ta nyn beccah tannaghtyn erriu.
JHN.10.1	Dy firrinagh firrinagh ta mee gra riu, Eshyn nagh vel goll stiagh er y dorrys ayns bwoaillee ny geyrragh, agh ta drappal seose er aght ennagh elley, t’eh shen ny vaarliagh as ny roosteyr. 
JHN.10.2	Agh eshyn ta goll stiagh er y dorrys, ta’n fer cheddin bochilley ny geyrragh. 
JHN.10.3	Dasyn ta’n dorrysser fosley; as ta ny kirree clashtyn e choraa: as t’eh geamagh er e chirree hene lurg nyn ennym, as dy leeideil ad magh. 
JHN.10.4	As tra t’eh cur magh e chirree hene, t’eh goll rhymboo, as ta ny kirree geiyrt er: son ta enney oc er e choraa. 
JHN.10.5	As joarree cha n’eiyr ad er, agh roie-ee ad er-chea veih: son cha vel enney oc er coraa joarree. 
JHN.10.6	Yn coraa-dorraghey shoh loayr Yeesey roo: agh cha hoig ad shen ny v’eh er loayrt roo. 
JHN.10.7	Eisht dooyrt Yeesey roo reesht, Dy firrinagh firrinagh ta mee gra riu, Mish dorrys ny geyrragh. 
JHN.10.8	Ta ooilley ny haink roym’s, nyn maarlee as nyn roosteyryn: agh cha dug ny kirree geill daue. 
JHN.10.9	Mish y dorrys: liorym’s my ta dooinney erbee goll stiagh, bee eh er ny hauail, as hed eh stiagh as magh, as yiow eh fassaghey. 
JHN.10.10	Cha vel y maarliagh cheet agh dy gheid, as dy varroo as dy stroie: haink mish dy voddagh bea y ve oc, as dy voddagh eh y ve oc ayns mooarane palchey. 
JHN.10.11	Mish y bochilley mie: ta’n bochilley mie cur e vioys son ny kirree. 
JHN.10.12	Agh eshyn ta failt, as cha nee yn bochilley hene, as nagh vel ny kirree lesh hene, t’eh fakin yn moddey-oaldey cheet, as t’eh faagail ny kirree, as roie er-chea: as ta’n moddey-oaldey dyn dayrtyn ad, as skeayley ny kirree. 
JHN.10.13	Ta fer-ny-failley chea, er-y-fa dy nee fer-failt eh, as nagh mooar-lesh son ny kirree. 
JHN.10.14	Mish y bochilley mie, as ta enney aym er my chirree, as ta enney ocsyn orrym’s. 
JHN.10.15	Myr ta enney ec yn Ayr orrym’s, shen myr ta enney aym’s er yn Ayr: as ta mee scarrey rish my vioys son ny kirree. 
JHN.10.16	As kirree elley t’aym, nagh vel jeh’n woaillee shoh: ad shen neesht shegin dou y chur lhiam, as cluinnee ad my choraa; as bee un woaillee ayn, as un vochilley. 
JHN.10.17	Shen-y-fa ta my Ayr graihagh orrym’s, er-yn-oyr dy vel mee scarrey rish my vioys, dy voddym y ghoaill reesht eh. 
JHN.10.18	Cha vel dooinney erbee dy ghoaill voym eh, agh m’aigney hene eh dy scarrey rish: Ta pooar aym dy scarrey rish, as ta pooar aym dy ghoaill reesht eh. Yn sarey shoh hooar mee veih my Ayr.
JHN.10.19	Va streeu er-y-fa shen reesht mastey ny Hewnyn son ny raaghyn shoh. 
JHN.10.20	As dooyrt ymmodee jeu, Ta drogh-spyrryd ayn, as t’eh ass e cheeayl; cre’n-fa ta shiu geaishtagh rish? 
JHN.10.21	Dooyrt feallagh elley, Cha vel ad shoh goan fer ta drogh-spyrryd ayn: Vod drogh-spyrryd sooillyn ny doail y osley?
JHN.10.22	As haghyr shoh ec Jerusalem, ec feailley casherickey yn chiamble; as nish va’n geurey. 
JHN.10.23	As va Yeesey shooyl ayns y chiamble ayns porch Solomon. 
JHN.10.24	Eisht haink ny Hewnyn mygeayrt-y-mysh, as dooyrt ad rish, Caïd t’ou freayll shin fo mee-ourys? My she yn Creest oo, insh dooin dy ynrick. 
JHN.10.25	Dreggyr Yeesey ad, Ta mee er n’insh diu hannah, as cha ren shiu my chredjal: ta ny obbraghyn ta mee dy yannoo ayns ennym my Ayrey gymmyrkey fenish jee’m. 
JHN.10.26	Agh cha vel shiuish credjal; er-yn-oyr nagh vel shiu jeh my hioltane, myr dooyrt mee riu. 
JHN.10.27	Ta my chirree clashtyn my choraa, as ta enney aym orroo, as eiyree ad orrym. 
JHN.10.28	As ta mee cur daue yn vea veayn, as cha jean ad dy bragh cherraghtyn, as cha n’ghow fer erbee ad ass my laue er-niart. 
JHN.10.29	Ta my Ayr hug dou ad, pooaral erskyn ooilley: as cha jarg fer erbee y ghoaill ad ass laue my Ayrey. 
JHN.10.30	Ta mish as my Ayr unnane. 
JHN.10.31	Eisht hrog ny Hewnyn claghyn reesht dy chlaghey eh. 
JHN.10.32	Dreggyr Yeesey ad, Shimmey yn obbyr vie ta mee er hoilshaghey diu veih my Ayr; son quoi j’eh ny obbraghyn cheddin ta shiu ry-hoi m’y chlaghey? 
JHN.10.33	Dreggyr ny Hewnyn eh, gra, Son obbyr vie cha vel shin dy dty chlaghey; agh son goan-mollaghtagh, as er-yn-oyr dy vel uss, ta dty ghooinney, jannoo oo hene Jee. 
JHN.10.34	Dreggyr Yeesey ad, Nagh vel eh scruit ayns y leigh eu, Dooyrt mee, She Jeeghyn shiu? 
JHN.10.35	My t’eh genmys adsyn Jeeghyn, dauesyn va goo Yee er ny choyrt, as nagh vod y scriptyr v’er ny rassey: 
JHN.10.36	Vel shiu gra mychionesyn ta’n Ayr er chasherickey, as er choyrt gys y theihll, T’ou loayrt goan-mollaghtagh; er-yn-oyr dy dooyrt mee, She Mac Yee mee? 
JHN.10.37	Mannagh vel mee jannoo obbraghyn m’Ayrey, ny cred-jee mee. 
JHN.10.38	Agh my ta mee jannoo ad, ga nagh gred shiu mish, cred-jee ny obbraghyn: dy vod shiu toiggal as credjal, dy vel yn Ayr aynym’s, as mish aynsyn. 
JHN.10.39	Er shoh v’ad reesht son y ghoaill eh: agh chossyn eh ass nyn laueyn, 
JHN.10.40	As hie eh roish reesht er cheu elley dy Yordan, gys y boayl raad ren Ean hoshiaght bashtey; as duirree eh ayns shen. 
JHN.10.41	As va ymmodee cheet huggey, as gra, Cha ren Ean mirril erbee: agh va dy chooilley nhee loayr Ean jeh’n dooinney shoh firrinagh. 
JHN.10.42	As ren ymmodee credjal ayn ayns shen.
JHN.11.1	Nish va dooinney dy row ching, va enmyssit Lazarus dy Vethany, balley Voirrey as y chuyr eck Martha. 
JHN.11.2	(She yn Voirrey cheddin v’ayn, ish ren ooillaghey yn Chiarn, as rub ny cassyn echey lesh e folt, yn braar eck Lazarus va ching.) 
JHN.11.3	Shen-y-fa hug ny shayraghyn echey fys huggey, gra, Hiarn, cur-my-ner, t’eshyn shynney lhiat ching. 
JHN.11.4	Tra cheayll Yeesey shoh, dooyrt eh, Cha vel y chingys shoh gys baase, agh son gloyr Yee, dy vod Mac Yee v’er ny ghloyraghey liorish. 
JHN.11.5	Nish bynney lesh Yeesey Martha, as y chuyr eck, as Lazarus. 
JHN.11.6	Shen-y-fa tra v’eh er chlashtyn dy row eh ching, duirree eh foast daa laa ayns yn un voayl raad v’eh. 
JHN.11.7	Eisht ny lurg shen dooyrt eh rish e ostyllyn, Lhig dooin goll reesht gys Judea. 
JHN.11.8	Dooyrt e ostyllyn rish, Vainshter, cha voddey neayr as va ny Hewnyn shirrey dty chlaghey; as vel oo son goll gys shen reesht? 
JHN.11.9	Dreggyr Yeesey, Nagh vel daa oor yeig ’sy laa? My ta dooinney erbee shooyll ayns y laa, cha vel eh snapperal, er-y-fa dy vel eh fakin soilshey yn theihll shoh. 
JHN.11.10	Agh my ta dooinney shooyll ayns yn oie, t’eh snapperal, er-y-fa nagh vel soilshey ayn. 
JHN.11.11	Ny goan shoh loayr eh: as ny lurg shen dooyrt eh roo, Ta nyn garrey Lazarus ny chadley; agh ta mish goll dy ghoostey eh ass e chadley. 
JHN.11.12	Eisht dooyrt e ostyllyn rish, Hiarn, my t’eh cadley, nee eh coural. 
JHN.11.13	Ny-yeih loayr Yeesey jeh’n vaase echey: agh heill adsyn dy row eh er loayrt jeh fea y ghoaill ayns cadley. 
JHN.11.14	Eisht dooyrt Yeesey roo dy foshlit, Ta Lazarus marroo. 
JHN.11.15	As ’smie lhiam er y choontey euish, nagh row mee ayns shen (son niartaghey nyn gredjue) ny-yeih hooin-jee huggey. 
JHN.11.16	Eisht dooyrt Thomase ta enmyssit Didymus rish e heshey-ostyllyn, Lhig dooinyn goll neesht, dy vod mayd baase y gheddyn mârish. 
JHN.11.17	Eisht tra va Yeesey er jeet gys Bethany, hooar eh dy row eh er ve kiare laa hannah ’syn oaie. 
JHN.11.18	(Nish va Bethany er-gerrey da Jerusalem, mysh daa veeilley jeh.) 
JHN.11.19	As va ymmodee jeh ny Hewnyn er jeet magh gys Martha as Moirrey, dy gherjaghey ad son nyn mraar. 
JHN.11.20	Eisht cha leah as cheayll Martha dy row Yeesey cheet, hie ee magh ny whail: agh hoie Moirrey ayns y thie. 
JHN.11.21	Eisht dooyrt Martha rish Yeesey, Hiarn, dy beagh uss er ve ayns shoh, cha beagh my vraar er gheddyn baase. 
JHN.11.22	Agh ta fys aym, eer foast, cre-erbee nee oo y yeearree er Jee, dy der Jee dhyt eh. 
JHN.11.23	Dooyrt Yeesey r’ee, Nee dty vraar girree reesht. 
JHN.11.24	Dooyrt Martha rish, Ta fys aym dy n’irree eh reesht ec yn irree-seose ’sy laa jerrinagh. 
JHN.11.25	Dooyrt Yeesey r’ee, Mish yn irree-seose-reesht veih ny merriu as yn vea: bee eshyn ta credjal aynym’s bio, ga dy vow eh baase; 
JHN.11.26	As quoi-erbee ta bio, as credjal aynym’s, cha vow eh yn baase dy bragh farraghtyn. Vel uss credjal shoh? 
JHN.11.27	Dooyrt ee rish, Ta, Hiarn: ta mee credjal dy nee uss yn Creest Mac Yee, va ry-hoi cheet gys y theihll. 
JHN.11.28	As tra v’ee er ghra shoh, hie ee rhymbee, as deïe ee er e shuyr Moirrey er-lheh, as dooyrt ee, Ta’n Mainshter er jeet, as t’eh geamagh ort. 
JHN.11.29	Cha leah as cheayll ee shen, dirree ee dy tappee, as haink ee huggey. 
JHN.11.30	Nish cha row Yeesey foast er jeet stiagh ayns y valley, agh v’eh ayns y voayl raad haink Martha ny whail. 
JHN.11.31	Ny Hewnyn eisht va mâree ayns y thie dy gherjaghey ee, tra honnick ad dy dirree Moirrey dy tappee, as dy jagh ee magh, deiyr ad urree, gra, T’ee goll gys yn oaie dy cheayney ayns shen. 
JHN.11.32	Eisht tra va Moirrey er jeet raad va Yeesey, as jeeaghyn er, huitt ee sheese ec e chassyn, gra rish, Hiarn, dy beagh uss er ve ayns shoh, cha beagh my vraar er gheddyn baase. 
JHN.11.33	Tra honnick Yeesey ee er-y-fa shen keayney, as ny Hewnyn myrgeddin keayney v’er jeet mâree, hayrn eh osney hrome, as v’eh seaghnit; 
JHN.11.34	As dooyrt eh, C’raad ta shiu er choyrt eh? Dooyrt adsyn rish, Hiarn, tarr as hee oo. 
JHN.11.35	Ren Yeesey keayney. 
JHN.11.36	Eisht dooyrt ny Hewnyn, Cur-jee my-ner, cre’n ghraih v’echey er! 
JHN.11.37	As dooyrt paart jeu, Nagh voddagh yn dooinney shoh, ren fosley sooillyn ny doail, v’er lhiettal baase y dooinney shoh? 
JHN.11.38	Hayrn Yeesey er-y-fa shen osney hrome reesht veih e chree, as haink eh gys yn oaie. She ooig v’ayn, as va clagh er e beeal. 
JHN.11.39	Dooyrt Yeesey, Scugh-jee yn chlagh. Dooyrt Martha shuyr y varroo rish, Hiarn, ta nish soar trome jeh: son t’eh er ve kiare laa marroo. 
JHN.11.40	Dooyrt Yeesey r’ee, Nagh dooyrt mee rhyt, my chredjagh oo, dy vaikagh oo gloyr Yee. 
JHN.11.41	Eisht scugh ad y chlagh jeh’n boayl raad va’n Marroo ny lhie. As hrog Yeesey seose e hooillyn, as dooyrt eh, Ayr, ta mee cur booise dhyt dy vel oo er my chlashtyn. 
JHN.11.42	As va fys aym dy vel oo rieau dy my chlashtyn: agh er coontey yn phobble ta mygeayrt-y-moom dooyrt mee shoh, dy vod ad credjal dy vel oo er my choyrt. 
JHN.11.43	As tra v’eh er ghra shoh, deïe eh lesh ard-choraa, Lazarus, tar magh. 
JHN.11.44	As haink eshyn va marroo magh soillit cass as laue ayns aanrityn oanluckee: as bussal mysh e eddin. Dooyrt Yeesey roo, Feayshil-jee eh, as lhig-jee yn raad da. 
JHN.11.45	Eisht ren ymmodee jeh ny Hewnyn v’er jeet magh gys Moirrey, as v’er vakin ny reddyn ren Yeesey, credjal ayn. 
JHN.11.46	Agh hie paart jeu rhymboo gys ny Phariseeyn, as dinsh ad daue cre ny reddyn va Yeesey er n’yannoo.
JHN.11.47	Eisht deïe ny ard-saggyrtyn as ny Phariseeyn er y choonceil cooidjagh, as dooyrt ad, Cre ta shinyn dy yannoo? son ta’n dooinney shoh jannoo ymmodee mirrilyn. 
JHN.11.48	My lhiggys mayd da, nee dy chooilley ghooinney credjal ayn; as hig ny Romanee as ver ad mow chammah yn ynnyd casherick as yn ashoon ain. 
JHN.11.49	As va fer jeu va enmyssit Caiaphas, ny ard-saggyrt yn vleïn shen, as dooyrt eh roo, Cha vel toiggal eu jeh nhee erbee, 
JHN.11.50	Chamoo ta shiu goaill eu hene kys dy vel eh ymmyrchagh er ny son ain, un dooinney dy gheddyn baase son y pobble, as gyn y slane ashoon dy herraghtyn. 
JHN.11.51	As shoh loayr eh, cha nee jeh hene: agh v’eh ny ard-saggyrt yn vleïn shen, as ren eh phadeyrys dy voghe Yeesey baase son yn ashoon shen: 
JHN.11.52	As cha nee ynrycan son yn ashoon shen, agh myrgeddin dy jinnagh eh cloan Yee va skeaylt dy lhean, y hayrn gys unnaneys ry-cheilley. 
JHN.11.53	Eisht veih’n laa shen magh v’ad cur nyn goyrle dy cheilley dy choyrt eh gybaase. 
JHN.11.54	Cha jimmee Yeesey er-y-fa shen ny smoo dy foshlit mastey ny Hewnyn; agh hie eh veih shen gys cheer va er-gerrey da’n aasagh, gys ard-valley enmyssit Ephraim, as duirree eh ayns shen marish e ostyllyn. 
JHN.11.55	As va caisht ny Hewnyn tayrn er-gerrey: as va ymmodee ass y cheer goll seose gys Jerusalem roish y chaisht dy ghlenney ad hene er y hon. 
JHN.11.56	As v’ad briaght son Yeesey, as loayrt nyn mast’ oc hene, myr v’ad nyn shassoo ayns y chiamble, Cre ta shiu dy smooinaghtyn, nagh jig eh seose gys y feailley? 
JHN.11.57	Nish va chammah ny ard-saggyrtyn as ny Phariseeyn er chur sarey, my va fys ec dooinney erbee c’raad v’eh, dy row ad dy choyrt briaght er cour y ghoaill eh.
JHN.12.1	Eisht shey laa roish y Chaisht, haink Yeesey gys Bethany, raad va Lazarus v’er ny ve marroo, yn fer cheddin v’eh er hroggal veih ny merriu. 
JHN.12.2	Ayns shen ren ad shibber er e hon, as va Martha shirveish orroo: agh va Lazarus fer jeusyn va nyn soie ec y voayrd mârish. 
JHN.12.3	Eisht ghow Moirrey punt dy ooil dy spikenard feer chostal, as ren ee cassyn Yeesey y ooilaghey, as rub ee e chassyn lesh e folt: as va’n thie er ny lhieeney lesh soar yn ooil. 
JHN.12.4	Eisht dooyrt fer jeh ny ostyllyn echey, Yuaase Iscariot mac Simon, va ry-hoi y vrah eh. 
JHN.12.5	Cre’n-fa nagh row yn ooil shoh creckit son three cheead ping, as er ny choyrt da ny boghtyn? 
JHN.12.6	Shoh dooyrt eh, cha nee ayns kiarail erbee son ny boghtyn, agh dy row eh ny vaarliagh, er va currym y sporran, as eshyn va gymmyrkey ny v’ayn. 
JHN.12.7	Eisht dooyrt Yeesey, Faag-jee veue ee: cour laa my oanluckey t’ee er reayll shoh. 
JHN.12.8	Son ny boghtyn t’ad eu kinjagh mêriu; agh mish cha vel eu kinjagh. 
JHN.12.9	Va fys er-y-fa shen ec ymmodee jeh ny Hewnyn dy row eh ayns shen: as haink ad, cha nee er coontey Yeesey ny-lomarcan, agh dy voddagh ad Lazarus y akin myrgeddin, eh v’eshyn er hroggal veih ny merriu.
JHN.12.10	Agh hug ny ard-saggyrtyn nyn goyrle dy cheilley, mychione Lazarus myrgeddin y choyrt gy-baase; 
JHN.12.11	Son dy row ymmodee jeh ny Hewnyn kyndagh rishyn er hreigeil adsyn, as er chredjal ayns Yeesey.
JHN.12.12	Laa-ny-vairagh hie shiartanse mooar dy leih, v’er jeet gys y feailley, tra cheayll ad dy row Yeesey er y raad gys Jerusalem. 
JHN.12.13	As ghow ad banglaneyn dy viljyn palm, as hie ad magh ny whail, as deïe ad, Hosanna; bannit ta ree Israel ta cheet ayns ennym y Chiarn. 
JHN.12.14	As tra va Yeesey er gheddyn assyl aeg, varkee eh er: myr te scruit, 
JHN.12.15	Ny gow aggle, inneen Sion: cur-my-ner ta dty ree cheet, markiagh er lhiy assyl. 
JHN.12.16	Ny reddyn shoh cha hoig e ostyllyn ec y toshiaght: agh tra va Yeesey er ny ghloyraghey, eisht chooinee ad dy row ny reddyn shoh scruit jeh, as dy row ad er n’yannoo ny reddyn shoh rish. 
JHN.12.17	Ren y pobble er-y-fa shen va mârish, tra deïe eh er Lazarus ass yn oaie, as tra hrog eh eh veih ny merriu, feanish y ymmyrkey. 
JHN.12.18	Er-yn-oyr shoh va’n pobble myrgeddin er gholl magh ny whail, son dy geayll ad dy row eh er n’yannoo yn mirril shoh. 
JHN.12.19	Dooyrt ny Phariseeyn er-y-fa shen nyn mast’ oc hene, Nagh vaik shiu, nagh vaardee shiu monney? cur-my-ner ta’n seihll er gholl geiyrt er.
JHN.12.20	As va shiartanse dy Ghreekyn nyn mast’ oc, v’er jeet seose dy chur ooashley ec y feailley: 
JHN.12.21	Haink ad shoh er-y-fa shen gys Philip, va veih Bethsaida ayns Galilee, as ghuee ad er, gra, Vainshter, veagh shin booiagh dy akin Yeesey. 
JHN.12.22	Haink Philip as dinsh eh da Andreays, as reesht dinsh Andreays as Philip shoh da Yeesey.
JHN.12.23	As dreggyr Yeesey ad, gra, Ta’n oor er jeet, dy vel yn Mac dooinney dy ve er ny ghloyraghey. 
