GEN.1.1	Gaihcij dwg Cangqdiq cauh gwnzmbwn caeuq lajdeih okdaeuj he. 
MRK.9.2	Yehsuh gangj doenghgij vah neix goq roek ngoenz le, de couh daiq Bijdwz, Yajgoz caeuq Yozhanq sam boux neix hwnj aen bya sang he bae. Hwnj bae le, de couh youq dangqnaj sam boux de bienq lo, 
MRK.9.3	bienq hwj diuz buh de bieg supsup myig myiengzmyiengz; youq lajmbwn mij'z vunz saeg boiq bieg ndaej saeg luj yienghmwnq youh bieg youh myig. 
MRK.9.4	Couh youq mwhneix, 
MRK.9.5	Bijdwz raen yienghneix le, 
MRK.9.6	Gizsaed mwhde Bijdwz gaenhbaenj mbouj rox ij gangj gijmaz vah, aenvih gyoengqde raen yienghneix le, cungj lau hwj ij rai bae.
MRK.9.7	Gajlaeng, miz ndaek vangq fwj he daeuj guem gyoengqde, caemh miz sing daj ndaw fwj gangj vah okdaeuj naeuz: “Boux neix dwg daeglwg gou; gou gig aiq de. Faenhsou ijaeu dingq gij vah de.” 
MRK.9.8	Bijdwz gyoengqde dingqri gij sing daj ndaw fwj yienghneix naeuz sat le, couh yawjyawj seiqhenz, hoeng, mij yawjraen saek boux, caenhgag yawjraen Yehsuh boux vunz dog youq mwnq sat lo.
MRK.9.9	Gajlaeng gyoengqde couh roengz bya ma. Roengz ma hih mwhde, Yehsuh raengq Bijdwz gyoengqde naeuz: “Vunz dih Daiqbiuj mijyaengz ndaej daj rai ndaej dauqlix cihsenz, faenhsou ciengeiz mbouj ndaej gangj naeuz vunz ni faenhsou soj yawjraen hih.”
MRK.9.10	Yehsuh yienghneix raengq Bijdwz gyoengqde, yiengq, gyoengqde caemh dingq de raengq, couh dawz gij saeh neix caeng youq ndaw sim hwj. Hoeng, gyoengqde vanzlij gag doxlwnh naeuz: “Daj rai ndaej dauqlix dauqdaej dwg gijmaz iqswh nej?”
MRK.9.11	Gajlaeng gyoengqde cam Yehsuh naeuz: “Mohsih dih fazliz cenhgyah vihmaz naeuz Hijliqyaq 
MRK.9.12	Yehsuh dingq gyoengqde yienghneix cam le, couh han naeuz: “Dwg hah, Hijliqyaq cingqcaen dwg ij daeuj gaxgonq guh ndei cwnjbiq hah, hoeng, 
MRK.9.13	Gou saedsaeh naeuz sou ni, Hijliqyaq de gaenq daeuj lo, hoeng, gij vunz dauq ciuq gij cawjeiq bonjfaenh ma haenj baenzlaw doiq de couh baenzlaw doiq de, yawj de ngawz, caenh luj 
MRK.9.14	Gajlaeng, Yehsuh caeuq Bijdwz gyoengqde couh dauq maj daengz gyoengq lwgsae mwnq. Gyoengqde maj daengz le, raen miz baenx haujlai vunz daeuj gvaengz gyoengqde, caemh raen miz doenghheij fazliz cenhgyah he caeuq gyoengqde doxeuq. 
MRK.9.15	Yiengq gyoengq vunz yawjraen Yehsuh le, cungj doeksaet hwj ij rai, couh riq goqbae dongx de.
MRK.9.16	Gajlaeng, Yehsuh couh cam gyoengq lwgsae de naeuz: “Faenhsou caeuq gyoengqde doxeuq gijmaz lah?”
MRK.9.17	Yiengq gyoengq vunzlai ndaw de miz boux he han naeuz: “Lauxsae, gou daiq daeglwg gou daeuj laeng mwngz dineix; de ngaiz fangz doz, hawj de mbouj ndaej gangj vah. 
MRK.9.18	Duz fangz neix siengzseiz loengh de, hawj de laemx, hawj de bak ok fwdfauz cix haeb faenz haeb heuj, baenx ndang cungj gyeng gyaengxgyaengx bae. Gou gouz gij lwgsae mwngz bang boenq duz fangz neix okma goq hwj, hoeng, gyoengqde gaenhbaenj mbouj ndaej.”
MRK.9.19	Yehsuh dingq le, couh naeuz: “Haex! Doenghgij vunz aen nienzdaiq neix mbouj sinq hih faenhsou hax, gou lij ij youq faenhsou dineix geijlwh caez haem? Gou ij naenx faenhsou daengz seizlaw bae? Daiq daeglwg mwngz goq daeuj gou dineix bax!” 
MRK.9.20	Yehsuh yienghneix naeuz le, couh miz vunz daiq daeg lwgngez mwnq goqdaeuj lo. Couh youq mwh daeg de goq daeuj hih mwhde, duz fangz doz mwnq baex yawjraen Yehsuh he, couh doq hawj daeglwg mwnq majcangq fatbanghmou, couh doq laemxdengx roengzbae, couh doq gyingj bae gyingj dauq bak cix ok fwdfauz.
MRK.9.21	Yehsuh raen yienghneix le, couh cam daxboh laeq de naeuz: “De ngaiz yienghneix ndaej geijlwh caez lo?”
MRK.9.21	Daxboh laeq de han naeuz: “Daj lij iq cix ngaiz lo. 
MRK.9.22	Miz haujlai mbat duz fangz neix dawz de gveng haeuj feiz gveng roengz raemx bae, ijsiengj haih de rai. Hauhnaeuz mwngz guh ndaej daengz, gou gouz mwngz hojsik hojsik raeuz, bang raeuz bax!”
MRK.9.23	Yehsuh dingq le, doiq de naeuz: “Mwngz daxbaenh naeuz ‘Hauhnaeuz mwngz guh ndaej daengz 
MRK.9.24	Daxboh daeg de dingq Yehsuh yienghneix naeuz le, couh majcangq hemq hwnjdaeuj naeuz: “Gou miz sinqsim, 
MRK.9.25	Couh youq mwhneix, Yehsuh yawjraen gyoengq vunzlai cungj humx goqdaeuj, yiengq de couh ndaq duz fangz mwnq naeuz: “Dihduz lwg fangz nukngoemx mwngz, gou mingqlingq mwngz daj gwnz ndang de ok ma, mboujcwnj mwngz caiq ndaenj haeuj gwnz ndang de bae.”
MRK.9.26	Yehsuh baex ndaq naeuz yienghneix he le, duz fangz mwnq couh majcangq hemq goggog hwnjdaeuj, hemq hwj daeg lwgngez mwnq caiq fatbanghmou donq he, youqgaenj raixcaix, ninz youq lajdoem caenh lujnaeuz rai hoh nwih le cij ok ma, guh hwj gyoengq vunz mwnq miz haujlai vunz cungj naeuz: “De gaenq rai lo!” 
MRK.9.27	Couh youq mwhneix, Yehsuh couh rag dawz gij fawz daeg de raeuz de hwnq; daeg de caemh ndwn hwnjdaeuj lo.
MRK.9.28	Gajlaeng Yehsuh couh haeuj ranz maj lo. Daengj de haeuj maj le, gyoengq lwgsae de couh caegcaeg cam de naeuz: 
MRK.9.29	Yehsuh dingq le, han gyoengqde naeuz: “Ij boenq doengh cungj 
MRK.9.30+MRK.9.31	Gajlaeng, Yehsuh caeuq gyoengq lwgsae de daj mwnq ok ma, byaij goq Gyahliqliq Saengj bae. 
MRK.9.32	Hoeng, gyoengq lwgsae de gaenhbaenj mbouj rox de gangj hih gawq vah neix dwg gijmaz iqswh, gyoengqde caemh mbouj gamj cam de.
MRK.9.33	Gajlaeng gyoengqde bae daengz Gyahbwznungz Singz. Yehsuh ngamq baex haeuj ranz bae he, de couh cam gyoengq lwgsae de naeuz: “Faenhsou youq dangjroen doxeuq gijmaz lah?” 
MRK.9.34	Hoeng, gyoengqde cungj mij saek boux ok sing, aenvih gyoengqde youq dangjroen doxeuq byawz ceiq rem.
MRK.9.35	Gajlaeng, Yehsuh couh naengh roengzma, couh heuh cibngeih boux 
MRK.9.36	De yienghneix naeuz le, couh daiq laeq lwgngez he goqdaeuj, hawj laeq de ndwn youq gyoengq lwgsae de mwnq hwj. Gajlaeng de caiq umj laeq de hwnjdaeuj doiq gyoengqde naeuz: 
MRK.9.37	“Famz miz vunz aeunaj gou, yawjhwnj gou hwj daih lwgngez hih, caemhdangq daih gou lo; famz daih gou hih, mbouj danhcij naeuz dwg daih gou, dauq dwg daih baij gou daeuj hih 
MRK.9.38	Gajlaeng Yozhanq naeuz: “Lauxsae, gyoengqraeuz raen miz boux he hij gij mingzhiq mwngz ma boenq fangz, hoeng ngaiz gyoengqraeuz haed mbouj hawj boux de, aenvih boux de mij dwg luj gyoengqraeuz gaen mwngz haem.”
MRK.9.39	Yehsuh dingq le, couh doiq Yozhanq naeuz: “Gaejyungh haed de, aenvih mij'z vunz hij gij mingzhiq gou ma guh geizmiuj hih saeh le caiq fanjgoqma bangjlaih gou law. 
MRK.9.40	Fanjcingq mbouj fanjdeiq raeuz hih couh dwg yungjhuq raeuz lo. 
MRK.9.41	Gou saedsaed saehsaeh naeuz sou ni, mboujguenj byawz, famz dwg vih faenhsou dwg gvi haeuj Gihduz hwj hawj faenhsou cenj raemx he gw hih, de caemh gaengjdingq ndaej gaepfaenh cangjliq hih.”
MRK.9.42	Yehsuh caiq naeuz: “Hoeng, mboujguenj byawz yungx hawj boux mbouj suenq guxmaz he sinq gou he famh coih hih, boux vunz mwnq hozmboujyienz sien gag dawz famuh rin venj hwnj gwnz hoz bonjfaenh bae gveng roengz haij bae; yienghmwnq ndei goq de yungx hawj vunz famh coih bae. 
MRK.9.43	Hauhnaeuz mwngz miz cik fawz he hawj mwngz famh coih hih, mwngz couh ij dawz cik de raemj bae; 
MRK.9.44	yienghneix gannaeuz mwngz noix bae cik fawz he lah, hoeng, dauq ndaej seiqseiz lix, yienghmwnq giengz goq miz song cik fawz hoeng dauq ngaiz gveng roengz mwnq Cangqdiq fad fangz ndaw feiz mbouj rox maet he bae. 
MRK.9.45	Caiq hauhnaeuz mwngz miz cik ha he hawj mwngz famh coih byaij loek hih, mwngz couh ij dawz cik de raemj bae; 
MRK.9.46	yienghneix mwngz gannaeuz noix bae cik ha he lah, hoeng, dauq ndaej seiqseiz lix, yienghmwnq giengz goq miz song cik ha hoeng dauq ngaiz gveng roengz mwnq Cangqdiq fad fangz he bae. 
MRK.9.47	Youhcaiq hauhnaeuz mwngz miz cehra he hawj mwngz famh coih hih, yiengq mwngz couh ij dawz ceh de vet bae; yienghneix gannaeuz mwngz noix bae cehra he lah, hoeng, dauq ndaej haeuj guek Cangqdiq bae, yienghmwnq giengz goq mwngz miz song cehra hoeng dauq ngaiz gveng roengz mwnq Cangqdiq fad fangz he, 
MRK.9.48	mwnq miz duz non mbouj rox rai he, feiz mbouj rox maet he bae. 
MRK.9.49	Youq mwnq gij vunz bouxboux cungj ngaiz feiz dangq gyu iep.”
MRK.9.50	De vanzlij caiq naeuz: “Gyu baenjlaiz miz yungh hih, hoeng, hauhnaeuz gij de bienq lo, mij veiqdauq lo, yiengq ij baenzlaw caiq ndaej hawj de ndaengq haem nej? Faenhsou ij wnggai luj gyu yienghmwnq ndaej hawj vunz miz yungh, 
MRK.10.1	Gajlaeng, Yehsuh caiq daj mwnq ok ma, bae Youzdaiq Saengj, bae daengz baih dah Yozdanq. Youq mwnq youhcaiq miz baenx haujlai vunz daeuj cimh de gvaengz de, de caemh doiq gyoengqde gangj 
MRK.10.2	Yiengq youq mwnq miz gij vunz gaep haeuj Fazliqcaiq baij he; gyoengqde 
MRK.10.3	Yehsuh dingq le, han naeuz: “Mohsih 
MRK.10.4	Gyoengqde han naeuz: “Mohsih 
MRK.10.5	Yehsuh dingq le, caiq doiq gyoengqde naeuz: “Mohsih dingh diuz fazliz neix dwg aenvih aen sim faenhsou daiq gyeng lai, de cij dingh hawj faenhsou he. 
MRK.10.6	Hoeng, daj gaihcij cauh mbwn cauh deih mwhde, Cangqdiq cauh vunz dwg cauh vunzsai caeuq vunzbaz hah. 
MRK.10.7	Sojhij, vunzsai ij biek boh biek meh, ij caeuq yah doxcaeuq youq,
MRK.10.8	Yiengq, giqyienz dwg yienghneix vwz, gvanjbaz couh mbouj caiq dwg song boux vunz haem lo, dauq dwg luj boux dog lah. 
MRK.10.9	Sojhij, Cangqdiq boiq hawj hih couh mbouj ndaej faensanq bae.”
MRK.10.10	Yehsuh yienghneix doiq gyoengqde gangj sat le, couh haeuj ranz bae lo. Yiengq, doenghheij lwgsae de couh cam de gij saeh neix. 
MRK.10.11	Gajlaeng, Yehsuh couh doiq doenghheij lwgsae de naeuz: “Famz caeuq mehyah bonjfaenh lizvwnh le caiq caeuq daixlingh boux gyezvwnh hih, couh dwg guhyoux, dwg doiq mbouj hwnj mehyah bonjfaenh lo. 
MRK.10.12	Yiengq caemh doxdoengz, famz caeuq goengjgvan bonjfaenh lizvwnh le caiq caeuq daixlingh boux gyezvwnh hih, yiengq caemh dwg guhyoux lo.”
MRK.10.13	Gajlaeng, miz baez he, miz vunz daiq lwg daeuj cimh Yehsuh, siengj hawj Yehsuh laxlax gij lwg gyoengqde. Yiengq doenghheij lwgsae de raen le, couh naeuz gyoengqde. 
MRK.10.14	Yehsuh raen doenghheij lwgsae de yienghneix le, couh aeuqheiq hwj doiq gyoengqde naeuz: “Mbouj ndaej laengz gyoengqde; hawj lwgngez goq daeuj gou dineix bax, aenvih aen guek Cangqdiq dwg gvi haeuj luj doenghheij lwgngez neix hih. 
MRK.10.15	Gou saedsaeh naeuz sou ni, mboujguenj guxmaz vunz, hauhnaeuz mbouj ndaej luj lwgngez yienghmwnq 
MRK.10.16	De yienghneix naeuz le, couh umjumj laxlax gyoengq lwgngez, couh oemj fawz hoh fuk hawj gyoengqde.
MRK.10.17	Gij saeh neix goq le, caiq miz baez he, Yehsuh cingq ij ganjroen, yiengq miz boux he riq goqdaeuj gvih youq dangqnaj de, cam de naeuz: “Lauxsae, mwngz dwg vunz ndei; gou cam mwngz: Gou ij baenzlawz guh cij ndaej seiqseiz lix nej?”
MRK.10.18	Yehsuh raen yienghneix le, couh cam boux de naeuz: “Mwngz guxmaz naeuz gou dwg vunz ndei hax? Caenhgag Cangqdiq cij ndei; cawzok Cangqdiq, caiq mbouj miz vunz ndei haem lo.
MRK.10.19	Mbouj ndaej gaj vunz, mbouj ndaej guhyoux, mbouj ndaej guxcaeg, mbouj ndaej guh gyaj cingqgiq, mbouj ndaej coemx vunz, ij yawjdij bohmeh.”
MRK.10.20	Gajlaeng boux de han naeuz: “Doenghgij gveihdingq neix gou daj lij iq cix guh daengz lo.”
MRK.10.21	Yehsuh dingq de yienghneix naeuz le, couh cimyawj de, roxnginh ndaw sim bonjfaenh haenj de, couh doiq de naeuz: “Hoeng mwngz noix yiengh he mij guh daengz, couh dwg noix mwngz mij dawz mwngz sojmiz hih gyadangq hai bae le, dawz sojmiz hih ngaenz faen hawj vunz gungz. Hauhnaeuz mwngz yienghneix guh, mwngz couh ndaej youq gwnzmbwn rom ndaej gij dijbauj he lo. Gajlaeng mwngz caemh ij daeuj gaen gou cij ndaej.”
MRK.10.22	Boux de baex dingq gij vah neix he le, couh najhawq cixcaemh duix liux hwj byaij deuz lo, aenvih boux de cienfanh fouqmiz he.
MRK.10.23	Yehsuh raen yienghneix le, couh yawjyawj seiqhenz couh doiq doenghheij lwgsae de naeuz: “Miz cienzngaenz dih vunz hax, hoj huh, hoj haeuj aen guek Cangqdiq bae huh!”
MRK.10.24	Gyoengq lwgsae dingq de gangj hih doenghgij vah neix cungj raen geizheih ij rai bae. Gajlaeng Yehsuh youhcaiq naeuz: “Baengzyoux hah, siengj haeuj aen guek Cangqdiq bae hoj huh! 
MRK.10.25	Miz cienzngaenz hih vunz ijsiengj haeuj aen guek Cangqdiq bae hoj huh, beij duz lozdoz ndonj rwzcim vanzlij hoj hwx!”
MRK.10.26	Gyoengq lwgsae dingq de yienghneix gangj le, engqgya raen geizheih ij rai, couh cam de naeuz: “Yiengq dauqdaej dwg byawz ndaej gouq nex?”
MRK.10.27	Gajlaeng Yehsuh couh cimyawj gyoengqde, han naeuz: “Vunz guh mbouj daengz hih, Cangqdiq guh ndaej daengz, aenvih mij gijmaz Cangqdiq guh mbouj daengz hih nej!”
MRK.10.28	Couh youq mwhneix, Bijdwz 
MRK.10.29	Yehsuh dingq le, couh doiq gyoengqde naeuz: “Gou saedsaeh naeuz sou ni, famz dwg vih gou caeuq vih gij ndei siuhsiz Cangqdiq hwj vwt ranz, vwt beix, vwt nuengx, vwt boh, vwt meh, vwt lwg, vwt reih, vwt naz hih vunz, 
MRK.10.30	youq seiq neix gaengjdingq ndaej lai baenx bak boix, couh dwg ranz hah, beixnuengx hah, bohmeh hah, lwg hah, reihnaz hah, cijmboujgoq ij ngaiz souh daengz bwkhaih, hoeng, daengz seiq laeng gaengjdingq ndaej daengz seiqseiz lix. 
MRK.10.31	Hoeng, gou naeuz sou ni, miz haujlai baenjlaiz ndaej youq gaxgonq hih, dauqfanj ngaiz youq gajlaeng; miz haujlai baenjlaiz youq gajlaeng hih, dauqfanj ndaej youq gaxgonq.”
MRK.10.32	Yiengq youq mwh gyoengqde bae Yehluqsajlaengj hih mwhde, Yehsuh byaij bae gaxgonq. Gyoengq lwgsae de raen yienghneix le, cungj raen geizheih ij rai bae, gyoengq vunz gaen de he caemh roxnginh lau. De raen gyoengqde yienghneix le, couh caiq heuh cibngeih boux 
MRK.10.33	“Gyoengqraeuz seizneix ij bae Yehluqsajlaengj. Vunz dih Daiqbiuj couh ij ngaiz vunz 
MRK.10.34	ngaiz gyoengqde dawz ma nyoujnyak gangjriu gaijmbwq, byiq myaiz hawj de, vanzlij aeu diuz bien naeng ma fad de, caiq gaj de rai. Hoeng, daengz daixsam ngoenz, de gaengjdingq ndaej dauqlix.”
MRK.10.35	Yehsuh yienghneix naeuz le, song daeglwg Sihbiqdaiq, Yajgoz caeuq Yozhanq, daeuj cam de naeuz: “Lauxsae, raeuz gouz mwngz yiengh he; muengh mwngz dapwngq raeuz.”
MRK.10.36	Yehsuh dingq le, cam naeuz: “Faenhsou ij gouz hawj gou guh gijmaz?”
MRK.10.37	Gyoengqde han naeuz: “Daengj baezneix mwngz naengh youq aen lungzeij rongh sagsag he hih mwhde, gouz mwngz hawj raeuz naengh youq henz ndang mwngz, boux he naengh youq baixgvaz, boux he naengh youq baihswix.”
MRK.10.38	Yehsuh dingq le, couh naeuz: “Faenhsou mbouj rox faenhsou gouz hih dwg gijmaz. Gou soj souh hih nanh, faenhsou ndaej souh lwi? Gou soj sijlij hih faenhsou ndaej lwi?”
MRK.10.39	Gyoengqde dingq le, couh doq han naeuz: “Raeuz souh ndaej.”
MRK.10.39	Gajlaeng, Yehsuh naeuz: “Gou soj souh hih nanh, faenhsou gaengjdingq ij ngaiz souh; gou soj souh hih sijlij, faenhsou caemh gaengjdingq ij ngaiz souh. 
MRK.10.40	Hoeng, cijmboujgoq naengh youq baihswix baixgvaz gou hih, mbouj dwg gou naeuz hawj couh ndaej hawj hih nej, dauq dwg 
MRK.10.41	Yiengq lij cib boux 
MRK.10.42	Couh vih yienghneix, Yehsuh couh heuh gyoengqde goq daeuj doxcomz, doiq gyoengqde naeuz: “Faenhsou caemh rox, doenghheij mbouj rox Cangqdiq hih vunz ndaw de, doenghheij nginhnaeuz dwg daeuzdaeuz he, gyoengqde cungj dwg guenjciq gij vunz de, cijveih gij vunz de. 
MRK.10.43	Hoeng, faenhsou mbouj wnggai hah, dauq dwg faenhsou ndaw neix byawz ijsiengj dang ak hih, byawz couh ij guh bouxhoiq faenhsou; 
MRK.10.44	byawz siengj dang daeuzdaeuz hih, byawz couh ij guh boux swqhaeuh vunz he, 
MRK.10.45	aenvih Vunz dih Daiqbiuj daeuj mbouj dwg daeuj hawj vunz swqhaeuh de hih, dauq dwg de daeuj swqhaeuh vunz hih lah. Mbouj danhcij naeuz dwg yienghneix, vanzlij dwg vih ij cueg 
MRK.10.46	Gajlaeng Yehsuh caeuq gyoengq lwgsae de bae daengz Yehliqgoh Singz. Gyoengqde caeuq baenx gyoengq vunzlai ij daj Yehliqgoh Singz ok ma hih mwhde, miz boux gaujvaq rafangz he, gij coh de heuh Bahdijmaij, dwg daeglwg Dijmaij; de naengh youq henz roen 
MRK.10.47	Yiengq boux de baex dingqri naeuz dwg Nazsajlwz vunz dih Yehsuh byaij goqbae he le, couh hemq naeuz: “Daqveiq
MRK.10.48	De yienghneix hemq le, couh miz haujlai vunz naeuz de, mbouj hawj de hemq, hoeng, vunz yied naeuz de, de yied engqgya hemq, hemq engqgya gog: “Daqveiq dih lwglan hax, hojsik hojsik gou bax!”
MRK.10.49	Yehsuh dingqri le, couh dingz roengzma, naeuz: “Hawj de goq daeuj.”
MRK.10.49	Gajlaeng gyoengq vunz couh heuh boux rafangz mwnq doiq de naeuz: “Mwngz coengqsim bax! Hwnq, de heuh mwngz nex!” 
MRK.10.50	Boux rafangz mwnq dingq le, couh majcangq gveng diuz buh baixrog de, couh doq diuq hwnjdaeuj, couh byaij goq Yehsuh mwnq bae.
MRK.10.51	Boux de goq bae le, Yehsuh couh cam boux de naeuz: “Mwngz ij hawj gou bang mwngz guh gijmaz?”
MRK.10.51	Boux de han naeuz: “Lauxsae, gou siengj caiq ndaej yawjraen!”
MRK.10.52	Gajlaeng Yehsuh naeuz: “Mwngz maj bax; gij sinqsim mwngz ndaej yw mwngz ndei lo.” Yehsuh ngamq baex yienghneix naeuz he, boux de couh doq ndaej yawjraen lo. Boux de ndaej yawjraen le, couh gaen Yehsuh bae lo.
MRK.11.1	Gajlaeng Yehsuh caeuq gyoengq lwgsae de bae ijvanh daengz Yehluqsajlaengj mwnq gaenh aen mbanj Bwzfazgiz caeuq aen mbanj Bwzdaqniz song aen mbanj neix dih aen bya Gamjlamj mwnq. Yehsuh couh baij song boux lwgsae de sien bae gaxgonq; 
MRK.11.2	de doiq song boux de naeuz: “Faenhsou bae aen mbanj dangqnaj mwnq. Faenhsou haeuj mbanj bae le, couh raen miz duz lawzlwg he lamh hwj; duz de mijyaengz miz vunz gwih goq haem. Faenhsou couh gej ying ma hawj gou. 
MRK.11.3	Hauhnaeuz miz vunz cam faenhsou vihmaz ij gej duz de nex, faenhsou couh naeuz: ‘Bouxcawj raeuz ij yungh duz de; yungh ndaej le, couh daiq duz de dauq ma dineix boiz.’”
MRK.11.4	Yehsuh raengq sat le, song boux de couh bae lo. Song boux de bae le, cingqgawq gwhraix, ngamqluj Yehsuh soj raengq hih yienghmwnq, raen miz duz lawz he lamh youq bakdou he. Song boux de raen le, couh bae gej duz de. 
MRK.11.5	Cingq gej hih mwhde, ndwn youq mwnq hih vunz miz geij boux cam naeuz: “Faenhsou vihmaz ij gej duz lawz neix hah?” 
MRK.11.6	Gyoengqde yienghneix cam le, song boux de couh ciuq Yehsuh soj raengq hih yienghmwnq ma han gyoengqde; gajlaeng gyoengqde couh mij naeuz gijmaz lo, ajcaih song boux de ying bae lo.
MRK.11.7	Couh yienghneix, song boux de couh ying duz lawz ma hawj Yehsuh, caemh dawz diuz buh bonjfaenh gyoengqde goemq hwnj gwnz gumq duz lawz bae. Yehsuh couh gwih hwnjbae lo. 
MRK.11.8	Mwh de ij okdin bae hih mwhde, caemh miz haujlai vunz aeu buh ma demh roen hawj de, caemh vanzlij miz hih vunz aeu rongfaex ma demh roen hawj de. 
MRK.11.9	Gyoengq vunz gaen de gvaengz de bae, 
MRK.11.10	Couh ij ndaej dauq miz luj cojgoeng raeuz Daqveiq dih vuengz lux! Vanqseiq vanqseiq vanqvanqseiq hux!”
MRK.11.11	Couh yienghneix, Yehsuh bae daengz Yehluqsajlaengj, bae daengz gunghdenq Cangqdiq, bae dauqcawq yawjyawj. Hoeng mwhde mbwn gaenq laep lo, yiengq de couh caeuq cibngeih boux 
MRK.11.12	Yiengq daengz ngoenz daixngeih, de couh caeuq gyoengqde daj aen mbanj Bwzdaqniz ok ma 
MRK.11.13	Gajlaeng de daj lizgyae yawjraen miz go uzvahgoj he, gij mbaw de mwn cupcup. De raen yienghneix le, couh byaij goqbae, siengj yawjyawj go de miz mbouj miz mak. Yiengq de bae daengz le, baenzlaw cimh cungj cimh mbouj raen miz saek aen mak, caenhgag miz mbaw lah, aenvih mwhde mbouj dwg daeng mwh dawz mak he. 
MRK.11.14	Yehsuh raen yienghneix le, couh doiq go de naeuz: “Daj seizneix hwnj, yungjyenj mij'z vunz gw gij mak mwngz.” Mwh de naeuz gawq neix hih mwhde, gyoengq lwgsae de caemh dingqri gawq neix.
MRK.11.15	Couh Yienghneix, Yehsuh gyoengqde couh dauq haeuj bae daengz Yehluqsajlaengj Singz. De bae daengz le, couh haeuj gunghdenq Cangqdiq bae. De baex haeuj bae daengz he, couh majcangq boenq doenghgij vunz youq mwnq hai cawx doxgaiq he okma, caemh nyoengx aen daiz boux youq mwnq vuenh ngaenz he caeuq aen daengq boux hai roegguqgap he laemx. 
MRK.11.16	De caiq mboujcwnj vunz dawz gij hai cawx dih doxgaiq byaij goq gunghdenq Cangqdiq, 
MRK.11.17	caemh doiq gyoengq vunz mwnq naeuz: 
MRK.11.18	Yiengq youq mwnq hih doengh boux goengjsae dajbwiz he caeuq doengh boux fazliz cenhgyah he dingq daengz de gangj doenghgij vah neix le, couh siengj banqfaz ij gaj de, hoeng, caiq lau de, aenvih de gangj hih vah cungj hawj vunz raen roxnginh geizmiuj ij rai.
MRK.11.19	Gajlaeng, daengz haemh le, de caeuq gyoengq lwgsae de caemh luj bienqnaengz yienghmwnq ok singz bae lo.
MRK.11.20	Yiengq daengz haet daixngeih daihcaeux, de caeuq gyoengq lwgsae de 
MRK.11.21	Bijdwz raen yienghneix le, couh ngeix daengz Yehsuh doiq go de gangj goq dih vah, couh doiq de naeuz: “Lauxsae, hawjm'z yawj hux, ngaiz mwngz naeuz hih go uzvahgoj mwnq gaenq ngaiz rai lo.”
MRK.11.22	Yehsuh dingq le, han naeuz: “Faenhsou wnggai doiq Cangqdiq miz sinqsim! 
MRK.11.23	Gou saedsaeh naeuz sou ni, mboujguenj byawz, cijaeu de gamj naeuz gaengjdingq ndaej, mij maz ngeiz, cungjsuenq naeuz de doiq aen bya neix naeuz: ‘Daj dineix nod deuz, roengz haij bae!’ yienghneix naeuz, aen de cungj caemh dingq hih. 
MRK.11.24	Sojhij, gou naeuz sou ni, famz dwg faenhsou gouz Cangqdiq hih, mboujguenj gouz gijmaz, cijaeu ndaw sim faenhsou sinq naeuz ndaej, yiengq couh gaengjdingq ndaej. 
MRK.11.25	Cijmboujgoq mwh faenhsou gouz Cangqdiq hih mwhde, ngeix daengz miz vunz daekcoih faenhsou hih couh wnggai nyiuz boux de, yienghmwnq Bohmbwn caemh nyiuz faenhsou lo. [
MRK.11.26	Hoeng, hauhnaeuz faenhsou mbouj nyiuz vunz, Bohmbwn faenhsou caemh mbouj nyiuz faenhsou lo.]”
MRK.11.27	Couh yienghneix, Yehsuh caeuq gyoengq lwgsae de caiq bae daengz Yehluqsajlaengj, 
MRK.11.28	saemjcam de naeuz: “Mwngz miz maz gienzliz guh gij saeh neix? Byawz hawj gij gienz neix hawj mwngz?”
MRK.11.29	Yehsuh dingq le, han gyoengqde naeuz: “Gou caemh ij cam faenhsou gawq he; hauhnaeuz faenhsou naeuz gou ni nex, gou caemh naeuz faenhsou ni gou miz maz gienzliz guh gij saeh neix lo. 
MRK.11.30	Couh dwg naeuz, Yozhanq dih sijlij dwg byawz dih cawjeiq? Dwg Cangqdiq haj cixnaeuz dwg vunz nej? Naeuz gou ni.”
MRK.11.31	Gyoengqde dingq le, couh gangj yebyeb hwj doxcimciek naeuz: “Gyoengqraeuz ij baenzlaw naeuz nej? Hauhnaeuz raeuz naeuz: ‘Dwg Cangqdiq lah,’ yiengq de gaengjdingq naeuz: ‘Yiengq faenhsou vihmaz mbouj sinq Yozhanq nej?’ 
MRK.11.32	Hoeng, hauhnaeuz raeuz naeuz: ‘Dwg vunz lah,’ yiengq gyoengq vunzlai gaengjdingq aeuqheiq, aenvih gyoengqde sinq Yozhanq dwg boux cenz gij vah Cangqdiq he.” 
MRK.11.33	Gyoengqde yienghneix cimciek le, 
MRK.11.33	Yehsuh raen gyoengqde yienghneix naeuz le, couh doiq gyoengqde naeuz: “Yiengq, gou caemh mbouj naeuz sou ni gou miz maz gienzliz ndaej guh gij saeh neix nej.”
MRK.12.1	Yehsuh yienghneix han gyoengqde le, couh yungh gij beijgangj he ma doiq gyoengqde naeuz: “Miz boux he, de ndaem miz suen buzdauz he. Aen suen de caemh miz faex led goqbae hwj, caemh youq ndaw de vat guh aen ciz caq guh laeuj he, caiq hwnq aen gyenhciq dap he, couh co hawj vunz, gajlaeng couh bae vaihdieg youq lo.
MRK.12.2	“Yiengq daeng mwh ndaej sou mak he le, de couh baij bouxhoiq he ma laeng doengh boux co suen mwnq sou aeu faenh 
