MAT.1.1	Devit ninado Abraham nah sapfii mpou Jisu Kristamah adoidoi tiisii lungkahum Pfiitat mah larek.
ACT.5.10	Sateichii tei tinglang sek teikii mpoupeinii Pitar pibang koumang taitakle, sateichii rahangmeinah teinii tatliit sek-kii mpoupei tei taisii kabam tei ngoutakle, teito ahnyiinii mpoupeigo kasi poipatsii mpou naa kukii poigoi takle. 
ACT.5.11	Teito Charsh hangda ninado pat kalei ai shii kalumei hang dato hangkapii kahing tei pat takle.
ACT.5.12	Sateichii Tiilamlwi kapyiimei bahpiinii meihang kak-kii sung kaga ninado kamadat hangkii tiipyii takle sateichii ahnyii meihangnii Solomon mah ki kamwi kiteito lungswi hang- ninii tiisii bamle. 
ACT.5.13	Nlenii sabato kalei bemei teinii ahnyiigo kaswi makle, meihangnii ahnyiigo tam mbisii leikado. 
ACT.5.14	Nlenii Bangpiigo kamalummei sapwimei sapfiimei hangkii kisii kisii meitei moibuibuitu takle; 
ACT.5.15	Teijangpii Pitarnii tat kapat kak mpou khii katangdo mei kata kangkii phyiiryiikii lakpyii matutang karam jangpii katii kanhiimei hang go pwidi kadi kadi kikii kasi poi- patsii azyii gamkii sateichii kasing gamkii mazyii takle. 
ACT.5.16	Sateichii Jerosalem mah sazyii lungkoi kiteito kalei namdi namdi kito mei hangniido katii kanhiimeigo sateichii sara kashyiinii kaswi kalei meihang go pang gongsii ndwi wotakle ninado ahnyiihang gotei tii mbipyii takle.
ACT.5.17	Nlenii kanat kanhii kajum Tingdimei ninado mpougo kaswi kalei meihang katunii, sadhu bemei hangteinii, nrungsii kamaimhiipii tokryii takle. 
ACT.5.18	Ahnyiinii Tiilamlwi kapyiimei gotei jumwosii, kabang kikii kai aitakle. 
ACT.5.19	Nlenii Bangpii mah sating gamlui teinii tinghumkii kabangki ki kamwi takam tei lattoi pyiisanii ahnyiigo pang mpatpyiisii tamle, 
ACT.5.20	“Tat tulo, sateichii gonyiinii Saraa kamaning kilungto satsii meihang dakii aimah karing sam hang ai tam pyiilo.” 
ACT.5.21	Teito ahnyiinii ai shiiwo sek-kii, tingtangtuna Saraa kamaning kilung tatliitsii tam ralipyiile, nlenii kanat kanhii kajum Tingdimei ninado mpougo kaswi kaleimei teinii, gongsanii samtak katii katingmei hang go lat ndwi wosii ahnyiigo pangpat tang karam jangpii, kabang kikii lang matutakle. 
ACT.5.22	Nlenii kadi kathangmei hangteinii gongkii ahnyiigo kabang kilungkii dousupii ahnyiinii nlaigongsii nha tei tam takle. 
ACT.5.23	“Kabang kitei mahlyii tiigatpii takam kabam ninado kabang ki kikamwi takam koikalei meihang teinii takam ku satsii koisii kabam tei nyiinii ngoule, nlenii kabang ki kikamwi takam laat sek- kii, kabang kilungtei nyiinii meigo kado ngou makle.” 
ACT.5.24	Sateichii Saraa kamaning kilungto kadipii ninado kanat kanhii kajum Tingdimei teinii sam ai shii wosek-kii, kadapei pat takposii lungnyii lunghousii bam takle. 
ACT.5.25	Teito mei hangninanii gong- sii ahnyii dakii tamle, “Julo, gonyiinii kabang kikii bang kabam sapfiimei hangteinii Saraa kamaning kilungto satsii meigo tam ralipyiisii bam takle.” 
ACT.5.26	Teito Saraa kamaning kilungto kadipii teinii kadi kathang- mei go kaswisii maa ahnyiigo jum pang gong takle, nlenii kalak kathai tei tiimakle, kadapokii meimoi teinii ahnyiigo kuitupii rot tutang karam gotei hingtakle.
ACT.5.27	Sateichii ahnyiinii ahnyiigo pang gong sek-kii, samtak katii katingmei doi teikii pangkhii masat takle, sateichii kanat kanhii kajum Tingdipii teinii ahnyiigo n-nhiisii tamle, 
ACT.5.28	“Zei aikito ralipyii sulosii nyiinii gonyiigo tiigatpii kakhatpyii takle, sateichii julo, gonyiinii rali kapyii aipiinii Jerosalem bam hangki tokryiisek takle, ninado mei aipou mah zai ai nyii phyiiryiikii gonyiinii majou kainyiile.”
ACT.5.29	Nlenii Pitar ninado Tiilamlwi kapyiimei teinii khekalatle, “Mei mah go sung Saraa mah kakhatsam gotei gonyiinii switangle. 
ACT.5.30	Gonyiinii ating gamkii kuikajusii gitoi kalei Jisu go nyii pwi nyii pfii mah Saraa teinii tiimaringpyii takle. 
ACT.5.31	Isrel- meinah go lung kakali ninado kem tiimaga pyiitang karam jangpii, kaleikapyiipii ninado doimajang kapyiipii tiisii mpoubah ajiilam sek teipiinii poimakhii pyii takle. 
ACT.5.32	Sateichii nyiinii aisam hang mah sakchyii teile, sateichii Saraanii mpou sam kaswimei hang dakii pyii kabam rangii kamatei teiniido sakchyiile.”
ACT.5.33	Ahnyiinii ai ai shii wosek-kii, ahnyii lungtei deng takle ninado ahnyiigo ginyii takle. 
ACT.5.34	Nlenii samtak katii katingmei kak kiteito kabijai katiimei hangninanii, katunii Gamaliel katupii, meihangnii sadzyii ngariit katii ajai tingshang kati ojamei hangninanii tusat tosii, ahnyii gotei shangniikii jangpii ki kajangkii kaibamlosii kakhat takle. 
ACT.5.35	Teito mpounii ahnyii dakii tamle, “Isrelmeinah, gonyiinii ai meigo tiikalei ai tiigatpii maning gatlo. 
ACT.5.36	Kadapokii tinglang aidoito mpou- roinapiinii mei hangniniilesii Theodas nii pat takle, mpouda sapfiimei mei haimadaikii mpougo kaswi wole, nlenii mpougo gitoi aisek-kii, mpou sam kaswimei hangnii pak marousii mah kado tiiwosu takle. 
ACT.5.37	Aipoutai ai meilui kafii tinglang kak Galili mpfii Judas patsanii, mpoutai kaswimei chengniikii lat mpat tole; mpou taiga takle, sateichii mpou sam kaswimei hangteinii marou maruk ai takle. 
ACT.5.38	Sateichii aitoinii Inii gonyii dakii tam leile, aimeida aito gonyiinii mpaa wosii ahnyiigo mpat ailo; kadaponii maning kalei lungswi ai mak-kii tiikalei tha ai meinah dato leponii, ai ai gatutangle; 
ACT.5.39	nlenii Saraa datoleponii, gonyiinii ahnyiigo tiimagapei wolakle, Saraanii mazhii kasudo gonyiinii kadoutu tangle!” 
ACT.5.40	Teito mpounii katam tei ahnyiinii shii wosii ahnyiinii Tiilamlwi ka- pyiimei gotei lat maliit tosii ahnyiigo dat datpyiisii, Jisu zei kito tam matu kasu tiisii hungsii kakhat- pyiisanii, ahnyiigo mpat aitakle. 
ACT.5.41	Teipiinii ahnyiinii Jisu zei kito ka-nrou ai doumajyii lesii ntasii samtak katii katingmei doiteito tatpat takle. 
ACT.5.42	Sateichii ahnyiinii sating kata Saraa kamaning kilungto ninado ki kitei ahnyiinii Jisu ai Krista lesii kabi rasam katam ninado tam ralikapyii tei matou makle.
ACT.6.1	Sateichii ai tinglang aihang ki aito boumei tei moibuibuitu sek-kii, Grik lat katii Jehudimei nei Jehudimei sazyii nah ai hangna kak aito n-gee tei pat takle. Kadapokii Grik lat katii Jehudimei teinii ahnyiiki kamipwimei go tingnei tingneikii jaikapyii kito kaletle katupii, 
ACT.6.2	teito Tiilamlwi kapyiimei keariisiinakhii teinii kamalum meihang gotei lat ndwi wosii tamle, “Sana jumtang karam jangpii nyiinii Saraa sam tam ralikapyii ai matou ai tang karam ai matou makle. 
ACT.6.3	Teijangpii kangsanamei, rangii kamateipii ninado swirek kabi piinii tokryiisii kalei sapfiimei sana ai gonyii kak kito kalai wolo, sateichii nyiinii ahnyiigo tha ai phyiiryiikii bam kaipyii tangle. 
ACT.6.4	Nlenii nyiinii nyii mah tinglang hangtei kariita ninado kabi rasam katam karali tha kikii pyiitangle.”
ACT.6.5	Teito ahnyiinii katam sam teipiinii meihang lungtei tiisamou pyiitakle, sateichii ahnyiinii kamalum ninado rangii kamateipii tokryiisii kalei sapfii mpou Stifan sii kalat ninado Filip, Prokorus, Nikanor, Timor, Parminas, ninado Antiyok ki Jehudimei mah kanat kanhii kajum- pii Nikolous, ahnyii aigo kalai mpat tosii, 
ACT.6.6	Tiilamlwi kapyiimei doikii masat takle, sateichii ahnyiinii riita kaleitai ahnyii phyiiryiikii ahnyiinii bah poikaipyii takle.
ACT.6.7	Sateichii Saraa mah sam tei dipat tutakle ninado Jerosalemto boumei tei hangkapii moibuibuitu takle sateichii kanat kanhii kajum Atingmei hangteinii kamalum kito sam swile.
ACT.6.8	Sateichii Stifan, jumage kati ni- nado teimahampii tokryiisii kaleipii teinii meimoi kak kito kamadat kadido tiikamangoudo tiiwole. 
ACT.6.9	Teito mpougo Jehudimei ndwiki kahaimei laat mpat kaleimei sii lat kalei, Siren kito kalung Jehudimei ninado Alekjandriya kito kalung Jehudimei, sateichii Silisiya kito kalei mei ninado Asia kito kalungmei teinii Stifan go kazyiitu takle. 
ACT.6.10	Nlenii mpounii swirek kabi ninado rangiipii tam kalei doi teito ahnyiinii satpei wolak takle. 
ACT.6.11	Teito ahnyiinii sapfiimei kangkago katwikai pyii- sanii tam matule, “Mpounii Moses phyiiryiikii ninado Saraa phyiiryiikii tam kamashyii sam katam tei nyiinii shiile.” 
ACT.6.12	Sateichii ahnyiinii meihang go, katingmeigo ninado jai tingshang kati ojameigo katwikai pyiitakle. Sateichii choikaipyiisanii mpougo jum wosii samtak katii katingmei doikii pangkhii takle. 
ACT.6.13	Sateichii “Mei aipounii kamatei bam ninado kakhatkapyii jaitingshang phyii- ryiikii taksupii tam kamashyii sam tamle. 
ACT.6.14	Kadapokii Nazaret ki Jisu ainii bam ai ai tiimaga aisii Mosesnii nyii dakii pyii kabam kanat kanhii aigo tiikali tanglesii mpounii katam tei nyiinii shiitakle, katu kasang kasu sakchyii katiimei hang gotei ahnyiinii sat matutakle.” 
ACT.6.15	Teito samtak katii katingmei bam kito bam kaleimei hangteinii mpougo jutiit-tiitmai wosek-kii, mpou jutei sating gamlui ju takumpii ngoutakle.
ACT.7.1	Kanat kanhii kajum Tingditu- piinii tamle, “Ai ai kasangpiide?” 
ACT.7.2	Stifannii khekalatle, “Kang sana- mei ninado gu pfiimei hang, n-gu shii seilo! pumtei kava mah Saraa teinii nyii pfii Abrahamda gongsii mangou- pyiile, mpounii Haran sazyii ki maa lungtu kasunii, Mesopotamiya sazyii ki lung kaleidou, 
ACT.7.3	mpougo madhang- pyiisii tamle, ‘nangnii go sazyii ki teito sateichii goki kalungmei dateito tat pat tosii Inii godakii mangoupyii tang karam sazyii kitei tat tulo.’ 
ACT.7.4	Teitinglang ki mpounii Kaldiya sazyii kiteito tatpat tosii Haran sazyii ki lungtu takle. Sateichii mpou pfii tai kaleitai, teiki teito gonyiinii aitoi bam kalei sazyii aikikii Saraanii ahgo pangpat pyiile; 
ACT.7.5	Saraanii Abrahamgo sazyii tei njai hangninii kado mpoumah roinii tiisii, mpoupi kakuni katangdo pyiimakle, nlenii Saraanii teitei mpoumah tiitanglesii sateichii teitei mpougo ninado mpou- taa mpou nahmeigo pyii tanglesii riishii tiipyiile. Saraanii Abrahamgo rashii tiikapyii tinglang kaktei Abra- ham nah gale. 
ACT.7.6	Sateichii Saraanii aitiisii tamle, mpoutaa mpou nahmeinii meiki sazyiiki lung tangle, sateichii teiki sazyii mei teinii ahnyiigo kabangnah tiimatusii tingkum haimadai katang ai hungsii tiikamage tangle. 
ACT.7.7	‘Nlenii ahnyiinii anga ngatang karam mei lui phyiiryii teikii Inii samtak tiitangle, sateichii tei taito ahnyiinii teiki sazyii kiteito tatpat tosii bam aikito n-gu riita tangle, sii Saraanii tamle.’ 
ACT.7.8	Sateichii Saraanii mpou dakii tiigyii malem tang karam mah sat tang karam samtam tei pyiitakle, sateichii mpounii Isak go lung kaleitai leimik siisat sang sekkii mpougo tiigyii malem aitakle; Isaknii Jakob go ninado Jakobnii nyii pfii nyii paomei keariisiinakhiigo aitiisii tiipyii takle.
ACT.7.9	“Sateichii nyii pfii nyiipaomeinii Joseph go ngourousii mpougo Izip kikii joitoi aitakle; sateichii Saraanii mpougo kaswipyii sanii, 
ACT.7.10	mpoumah kamage kalak matum madum kiteito pang maju pyiisii Izip ki sagong Pharo mah lungkasyii ninado swirek kabi tei pyiitakle; sateichii mpounii mpougo Izip ninado mpoumah ka- lung mah amahlyii hang phyiiryiikii Governor tiimatu takle. 
ACT.7.11	Sateichii Izip ninado Kainan sazyii hangki tak kateeng ninado hangkapii kamage kalak tei pat takle; sateichii nyii pfiimeinii chiitak dousu takle. 
ACT.7.12	Teito Izip sazyiiki kachii kasak leile katu tei Jakobnii shii wosek-kii, karei reisang kito nyii pfiimeigo lang mpatle. 
ACT.7.13	Sateichii hangna kashang kito Josephnii mpouki sanamei dakii matipyii takle, sateichii Joseph ki kalungmeigo Pharo sagong doikii tam mpat takle. 
ACT.7.14	Sateichii Joseph- nii lang mpatsii mpou pfii Jakob ninado mpouki kalungmei hang mei reksiinasii mangii nkhii go mpou dakii lang magong takle; 
ACT.7.15	Sateichii Jakobnii Izip ki liit takle, ninado mpoudo nyii pfiimei hangdo taitakle. 
ACT.7.16	Sateichii ahnyiigo Sekhem kito kalei Hamor nah sapfiimei dato Abra- hamnii sana pyiisii lyiikalu roubam kiteikii poigoi takle.
ACT.7.17	“Nlenii Saraanii Abraham go mazhiisii riishii tiikabam tinglang tei nagong sek-kii, Joseph go jutikasu Izip ki sagong kaki hangninii patloi kasuta, 
ACT.7.18	Amei tei Izip ki moibuibui, dibui buitu takle. 
ACT.7.19	Sagong teinii nyii luigo kadat karyiisii tiimagesii ahnyii nah kacheng hang go ring matu kasu tiisii rat toi matule. 
ACT.7.20	Teitinglang kaktei Moses go lung takle, sateichii mpou ai Saraa doito ngoukabi nah kacheng hangniniile, sateichii mpougo mpou pfii kito sakhii hangtum ai makot makhiile. 
ACT.7.21	Sateichii mpou kito mpougo rat toi aisek-kii, sagong nah sapwi mpei teinii mpougo poi wosii mpoupei nah kasang takumpii makot makhii pyiile. 
ACT.7.22	Mpougo Izipmeinah mah swirek kabi hangtei ralipyiisii mpou ai samtam kito ninado atha kito kadi kathangmei hangninii tiiwole.
ACT.7.23	“Mpounii tingkum rekdai sang sekkii, mpoutai karhii ninado mpou sung kating Isrelmeinah gotei mpou lung kito jukanyii tei pat takle. 
ACT.7.24	Sateichii ahnyii kak kito mei hangniniigo Izipmeinahnii tiimajyii supii tiikamage kapyii tei ngou wosanii, mpounii ahgo tiihasii, Izip- meinah gotei gi aisii akum fiitakle. 
ACT.7.25	Saraanii mpougo jumpyiisii ah- nyiigo matapii lat toipyii matutangle katu ai mpou luinii tilei tanglesii Mosesnii maningle, nlenii ahnyiinii tisuwole. 
ACT.7.26	Supounei tei mpounii Isrelmeinah hangna kadatsii kalei tei ngou wosii, mpounii ahnei hangna kak-kii kamajung tei poigong pyii kabui mah tiisii mpounii tamle, ‘Shii- pyiilo, gonei ai Isrelmeinah karale, kadajangpii gonei aitiisii kadat leipo?’ 
ACT.7.27	Nlenii mei kakipiigo kasang kasu tha katiipii teinii Moses go lutuikii tui mpatsii tamle, ‘N-go tanii nei phyiiryiikii pum katii ninado samtak katiipii tiipyiipo?’ 
ACT.7.28	Ndazyii nangnii Izipmeinahgo gitoi kalei takumpiinii n-gudo gilesiime? 
ACT.7.29	Sateichii ai tamsek-kii, Mosesnii pak tusii, Mediyan sazyii kito bamtu takle, teiki teito mpounah sapfiimei hangna lung wotakle.
ACT.7.30	“Tingkum rekdai sang sek-kii, sinai zang mah sazyii kamarong kito sating gamlui hangninanii rangum hangninii ki misung lung teito mpougo mangoule. 
ACT.7.31	Sateichii Mo- sesnii teitei ngou wosii, mpounii ngou kalei gotei madat takle sateichii tii- gatpii jutang karam jangpii mpounii tatkhii manang sek-kii, Bangpii dato rok hangninii gongle. 
ACT.7.32	Inii gonyii pfii gonyii paomei mah Saraa Abra- ham mah, Isakmah ninado Jakob mah Saraa teile; teito Mosesnii nchyiidung dungsii tiigatpii jusu- takle. 
ACT.7.33	Teito Abangpiinii mpou dakii tamle, gopi kito pichot tei loktoi ailo, kadapokii nangnii sat kalei bam ai kamatei sazyiile. 
ACT.7.34	Izip kito kalei gumah mei hang mah kamage kalak matum madum tei Inii ngoutakle, sateichii ahnyii mah kamage rok tei shiitakle sateichii Inii gonyiigo kaleipyii tang karam jangpii gong leile, sateichii aitoi patlo, Inii n-go Izip kikii lang mpat tangle.
ACT.7.35	“Tanii n-go pum katii ninado samtak katiipii tiimatu pyiipo? sii ahnyiinii mazhii kasu Moses aigo rangum kabi kito mpou dakii mangou kapyii sating gamlui bah teipiinii apum katii ninado pang mpatpyii matutang karam jangpii Saraanii lang mpatpyii takle. 
ACT.7.36	Mei aipou ainii Izip kito, dwijai kaghang kito sateichii sazyii kamarong kito tingkum rekdai ai kamadat kamadat tha ninado tiikamangou hang tiisii ahnyiigo pang mpatpyii takle. 
ACT.7.37	Saraanii gonyii kangsanamei hang kak kito gonyii jangpii go kakum Lungkakalingmei hangninii mpat- pyii tanglesii Isrelmeinah dakii tam kabam Moses tei aile. 
ACT.7.38	Sinai zang gamto mpou dakii tam kapyii Sating gamlui teinei nyii pfii nyiipao meigo kaswisii sazyii kamarong kito meimoi kakto kabam mpou tei aile. Mpounii nyii dakii pyiitang karam ringkalei samtei doutakle.
ACT.7.39	“Nyii Pfii nyiipaomeinii mpou sam swirousii mpougo ahnyii dato twitoi aisii, ahnyii lungswi tei Izip sazyii kikii ngaryii gongsanii Aron dakii tamle, 
ACT.7.40	nyiidoi reipyii tang karam, nyiijangpii sara hangtei tiipyiilo; kadapokii nyiigo Izip sazyii kito pang mpat kapyii Moses tei aito kadapei pat takpo nyiinii tisutakle. 
ACT.7.41	Teito ahnyiinii teitinglang ki twomnah hangninii tiiwosii, ating- tupiinii katii param dateikii pyiika- toi poigongsii ahnyii bah chempiinii tiiwo kalu param dateito ahnyiinii nta nlangtu takle. 
ACT.7.42	Teijangpii Saraanii ahnyii dato tat nryiitu takle ninado ahnyiigo Sating gam sageiti hang go riita matutakle; Lungka- kalingmei mah larekbung kikii ryii kabam takumpiinii:
ACT.7.42	‘Isrelmeinah! Sazyii kamarong kito tingkum rekdai gonyiinii karat tang karam ninado pyiitoi tang karam kamyii tei gudakii pyiitoi makpo?
ACT.7.43	Sateichii Molak sara mah dwipeiki ninado sageiti mah sara Rempham mah param,
ACT.7.43	mata tang karam jangpii gonyii bahpiinii tiiwo kalu param hang gotei gonyiinii poitatle,
ACT.7.43	teijangpii Inii gonyiigo Bebilon sazyii ki katang majusii kathaitoi tangle.’
ACT.7.44	“Nyii pfii nyii paomeinii mahpwizyii kito kabam tinglang kak tei Saraa haikajyii mah dwipei ki tei ahnyiigo kaswisii bamle. Teiteinii Saraanii Moses go mangou kapyii jaitalui takumpiinii tiibamle. 
ACT.7.45	Nyii pfii nyiipao mei doito Saraanii baatoi kalei luimei mah sazyii kitei tat kaliit tinglang kak, dwipeiki nyii pfii nyiipao meinii adoidoi douhumsii Joshuwa go kaswisii poigong takle, teitei Devit haki katang tei bamle. 
ACT.7.46	Mpounii Saraa mah lungkasyii tei dou wole, sateichii mpounii Jakob mah Saraago mbam tang karam bamtei mpougo pyiilosii mpounii Saraa dato khangle. 
ACT.7.47	Nlenii Solo- monnii Saraa jangpii ki hangninii tiipyii takle.
ACT.7.48	“Nlenii sagoi kaki Saraa teinii meinahnii katii aki kitei bamlei mak- le; lungkakalingmeinii tam kabam takumpii: 
ACT.7.49	Abangpiinii tamle,
ACT.7.49	‘Sating gam ai gu sagongbamle
ACT.7.49	ninado sazyii ai gupi kakunile,
ACT.7.49	da kakum ki tei gonyiinii gujangpii tiipyii tangpo?
ACT.7.49	Inii bam tang karam bamtei kadaki leipo?
ACT.7.50	Ai mahlyiihang ai Inii gubahpii tiipyii makpo?’
ACT.7.51	“Gonyii kadaziikapii kamalum gapo? Gonyii lung ai kadaziikapii teipo? Saraa sam shii tang karam kito gonyii khoi ai kadaziikapii teipo! Gonyii ai gonyii pfii gonyiipoumei takum takle; gonyiiniido rangii ka- mateigo mazhii makle! 
ACT.7.52	Gonyiipfii gonyiipou meinii tiikamage kasu Lungkakalingmei hangninii kado leigapo? Mpou mah kasang kama- jyiipii gongtanglesii gong kasunato reipii mati kapyii Saraamah sampao kapungmei hang gotei ahnyiinii gitoi aitakle sateichii aitoinii gonyiinii mpougo schoi choikaipyiisii mpougo gitoi aitakle. 
ACT.7.53	Gonyiinii Saraa mah ajaitingshang tei doukalu mei- hangle, teitei sating gamlui dato m-mangpyiile, nlenii gonyiinii swisu takle.”
ACT.7.54	Sateichii ahnyiinii samhang ai shii wosek-kii ahnyii lungtei rakarhiipii tokryiisanii, mpou phyii- ryiikii ahnyiinii aghii kaget tutakle. 
ACT.7.55	Sateichii mpounii rangii kama- teipii tokryiisanii sating gamkii rajang matukii Saraa mah pumtei kava ninado Jisunii Saraa mah bah ajiilam pangto sat kalei tei ngou wosii tamle, 
ACT.7.56	“Julo, Sating gam kamwi laatkapyii ninado meinah sapfii mpou teinii Saraa mah bah ajiilam pang teito satsii kalei tei Inii ngoutakle.”
ACT.7.57	Nlenii ahnyiinii rok sagoisii saasanii ahnyii koitei kabanei wosii lungswi hangninii tiisii mpou gam kachotkhii takle. 
ACT.7.58	Sateichii ahnyiinii mpougo namdi kiteito saba chyiipatsii mpougo kuitupii rot tutakle sateichii kangoumei teinii ahnyii peimani tei, zei Sol sii kalat rahangmeinah hangninii pibangkii kai aitakle. 
ACT.7.59	Sateichii Bangpiigo kalat sateichii “Bangpii Jisu, Gu rangii ai poipyiilo” sii riita leibangpii ahnyiinii mpougo kuitupii rotsii bamle. 
ACT.7.60	Sateichii mpounii kok kumsii lat sagoisii riitale, “Bangpii, ahnyii phyiiryiikii kem ai kaipyii seisulo.” Teito sam ai tamsii mpounii majutu takle.
ACT.8.1	Sateichii mpougo kagi tei Solnii ahnyiigo kaswisii mazhiitakle.
ACT.8.2	Sateichii teipiinei leimik tei Jerosalem kito Charsh phyiiryiikii hangkapii tiikamage katu tei pat takle; teiki teito Tiilamlwi kapyiimei teisupiinii, ahnyii hang Judiya ninado Samariya sazyii hang kito pak marou maruk aitakle. Sateichii kasang katiimei sapfiimei kangkanii Stifan go poigoi pyiisii mpou jangpiinii rok sagoisii mageesii hatle.
ACT.8.3	Nlenii Solnii ki hang kitei liitsii sapwimei sapfiimei hang go chyii mpatsii kabang kikii kaisii meihang gotei tiikamage pyiile.
ACT.8.4	Sateichii tat marou maruktu kaleimei hang teinii kabi rasam tei tamsii tamsii bamlyiihang ki tat tutakle. 
ACT.8.5	Sateichii Filipnii Samariya mah namdi kitei liit tosii ahnyii dakii Krista go tam mati mangoupyiile. 
ACT.8.6	Sateichii meihangnii Filip mah samtam tei shiiwo sek-kii, sateichii mpounii tiikalu tiikamangou hang tei ngou wosek-kii, mpounii tam kalei gotei ahnyiinii lungswi hangninii tiisii lukai wole. 
ACT.8.7	Kadapokii kashyii rangii hangteinii rok sagoisii saasii tatpat totakle; sateichii pum pei taisii kaleimei mak-kii pi katwimei hang go tii mbipyii takle; 
ACT.8.8	Teipiinii namdi teiki teito hangkapii nta tutakle.
ACT.8.9	Nlenii teiki namdi ki teito ndou kamadat mahai katei jumsii kalei; Simon sii kalat sapfiimei hangninii bamle, sateichii mpounii mpou roinapii kadimei hangniniilesii Sa- mariyamei hang go sung tiimaga tiimaga leile. 
ACT.8.10	Mpougo ahnyii- nahmei kacheng sekto kadi katangpii meihangnii lung liit gatsii tamle, “Mei aipou ai kadi kathangsii kalat sara mah teimaham teile.” 
ACT.8.11	Sateichii mpounii mpou mah kamadat mahai katii teipiinii ahnyiigo tinglang ka- tangkii asung tiikamaga jangteipiinii ahnyii dakii lung liitsii bamle. 
ACT.8.12	Nlenii Filipnii Saraa mah sating sazyii ninado Jisu Krista mah zei kito kabi rasam tam ralikapyii tei ahnyiinii malum wosek-kii, sapwi- meido sapfiimeido ahnyii hang dwi mpum wotakle. 
ACT.8.13	Teito Simon ka- tangpiinado malum wosii, dwi mpum wosii, Filipgo taksupii kaswile, sateichii tiikamangou hang ninado tha kadi mei tiiwo kalak tha hang pat kalei tei ngou wosii mpounii madat takle.
ACT.8.14	Sateichii Samariya kito kaleimeinii Saraa mah samtei lukai wotakle katu tei Jerosalem kito kalei tiilamlwi kapyiimei hangnii shiiwo sek-kii, ahnyiinii Pitar nei Jon go ahnyii dakii lang magongpyiile. 
ACT.8.15	Mpoupiinanii tatliit sek-kii, ahnyiinii rangii kamatei doumatu tang karam jangpii riitakai pyiitakle. 
ACT.8.16	Kadapokii rangii kamatei teinii ahnyii mei hangninii phyiiryii kado reisii humpyii makle, nlenii Bangpii Jisu zei kito ahnyiigo dwi mpum kapyii tei roile. 
ACT.8.17	Tei tinglang kaktei ahnyii phyiiryiikii ahnyiinii bah kaipyii takle, sateichii ahnyiinii rangii kamatei dou wole.
ACT.8.18	Sateichii tiilamlwi kapyiimei bah kaikapyii kak rangii kamatei tei pyiitakle katu Simonnii ngou wosek-kii, mpounii ahnyii dakii sana pyiisii tamle, 
ACT.8.19	“Inii mei kata hang- ninii gamkii bah poikaipii sekchii ahnii rangii kamateigo dou wokabui mah teimaham ai n-gudo pyiiseilo.”
ACT.8.20	Nlenii Pitarnii tamle, “Go sana tei n-go kaswisii gamatulo, kadapokii Saraa mah luha kapyii gotei sanapiinii lyiiwo builesii nangnii maningle. 
ACT.8.21	Atha aiki aito go njai mak-kii golangh samah kado gale, kadapokii golung matei makle. 
ACT.8.22	Teijangpii gomah kashyii aiki aito lung kaliwolo sateichii golung ma- ningma kalei kiteito kaleipyii matu tang karam jangpii Bangpii dakii riitalo. 
ACT.8.23	Kadapokii nangnii kashyii lungswi kito sateichii kanat mah ajai kasu kataam karaam kito leile katu tei Inii ngoule.”
ACT.8.24	Teito Simonnii khekalatle, “Gonyiinii tam kalei tei hangninii kado guphyiiryii gong kasu tiisii, gujangpii gonyiinii Bangpii dakii riita khangpyiilo.”
ACT.8.25	Aitiisii ahnyiinii Bangpii mah sam tam tei tiigatpii sakchyii tiisii tampyii aisii, Samariyamei mah nam namki tei liitsii kabi rasam tamsii tamsii Jerosalem ki nlai gongle.
ACT.8.26	Nlenii Bangpii mah Sating gamluinii Filip dakii tamle, “Tusat tolo sateichii Jerosalem kito Gaza katang tat kaliit pwidi teikito lamka lam pangtei tat tulo; ai mahpwizyii sazyii pwidile.” (tingneishangnii pwidi ai mei tat lei sutakle.) 
ACT.8.27	teito mpounii tusat tosii tat tutakle; sateichii julo, Ithopiyamei tiikatu sapfii mpou, Ithopiyamei mah sagong nou Kandaseh mah seh sana hang phyiiryiito sangkaleipii, kadipii tei- nii Jerosalem ki Saraago mata tang karam jangpii tat leile; 
ACT.8.28	sateichii mpounii nlaigong tang karam jangpii mpou mah takoi garyii gam bamsii lungkakalingpii Isaiya mah larek tei fiisii bamle. 
ACT.8.29	Sateichii rangiinii Filip dakii tamle, “Ada khiiwosii takoi garyii aigo kaswi wolo.” 
ACT.8.30	Teito Filip nii mpou da tatliit manangsanii mpounii Lungkakalingpii Isaiya mah larek fiikalei tei shiiwosii tamle, “Nangnii fiikalei tei ti timakpo?”
ACT.8.31	Teito mpounii tamle, “Mei kata hangninanii n-gu tampyii suleponii, Inii kada takumpiinii tiwo tangpo? Teito mpounii Filip go: aigam tuwosii n-gu kaswisii bamseilo,” sii tam takle. 
ACT.8.32	Sateichii mpounii fiikalei kabi rasam tei aile:
ACT.8.32	“Jao go gitang karam jangpii chyiitat kalei takumpii mak-kii Jaonahnii mpou mai taitoi tang karampii doiteito nra kasu takumpiinii,
ACT.8.32	mpounii mpou mwi n-gapat makle.
ACT.8.33	Mpounii lung kamanoi jangpiinii mpou mah samtak katii tei poitoi takle,
ACT.8.33	mpoumah atat areng go tanii tam wobuipo?
ACT.8.33	Kadaponii mpou tiilung tei sazyii pouryiito poimatu tutakle.”
